maroon,teal,orange,gold,green
benefit,user innovation,collective invention,complementarity,embedded lead user
community-based innovation,boundary spanner,commons-based peer production,division of innovative labor,market information processing
consistency,identification,comparative analysi,externality,organizational behavior
contingency factor,innovation,crowdsourcing,social welfare,organizational boundary
cost,job satisfaction,distributed innovation,user innovation paradigm,sticky knowledge
innovation effect,case study,free revealing of information,user-producer interaction,
innovation management,driver,innovation model,,
manufacturer strategy,dynamic analysi,open source,,
marketing effect,impediment,user innovation network,,
open innovation,user community,,,
,commercial diffusion,,,
,general value,,,
,market failure,,,
,peer-to-peer diffusion,,,
