maroon,teal,gold,orange
appropriability regime,user innovation,computer game,innovation
disruptive innovation,biase,consumer innovator,customer
environmental turbulence,decision-maker,marketplace,efficiency
functional novelty,sources of innovation,pricing,external knowledge
radical innovation,theory practice gap,,identification
,consumer behavimy,,lead user
,marketing research,,pyramiding
,user characteristic,,screening
,innovation in consumer market,,search
,innovation proces,,
,local information,,
,sticky information,,
