maroon,teal,gold,orange,navy,yellow,red,blue,purple,cyan,brown,indigo,lime,olive,silver,black,pink,green,magenta
3d community,diffusion,user innovation,digital remixing,open innovation,acquisition mechanism,adoption,altruism,behavioral innovation,case study,china and the west,chinese high technology industry,co-innovation,community innovation,creativity,customer-active paradigm,firm innovation,high-technology,integrated model
3d printing,biography of artifact,adopters’ creative thinking,motivation,diffusion of innovation,crowdsourcing,lead user,chinese large-scale survey,feminist economic,company,comparative case,industry characteristic,domain-based review,consumer innovation,embedded lead user,literature review,industrial robot,patent,super-network
collaboration,bricolage,counter-learning communication,online community,innovation toolkit,idea competition,new product,household sector user innovation,household sector innovation,comparative study,knowledge sharing,sources of tpp innovation,meta-systematic review,daily practice,idea quality,user toolkits for innovation,mediating effect,semiconductor,user innovation knowledge
ideal type,configuration,mass market adoption,absorptive capacity,lag-user,innovation contest,opinion leadership,intrinsic self-reward,innovation diffusion,continuous interaction,open source software project,,npd,innovation behavior,internal lead user,,sustainability-oriented innovation,technology management,
user entrepreneurship,innofusion,agent-based social simulation,organizational adoption,laggard,innovation tournament,brand community,partnership,technique innovation,fan innovation,,,pm,russium,elu,,unconventional source of innovation,innovation measurement,
digital technology,innovation,community,sources of innovation,new product development method,intelligence,willingness to share,,,innovation management,,,user engagement,,employee participation,,,sectoral system,
odds-ratio,peer production,articulation,user innovation community,resistance to innovation,public relation,combinatory search,,,innovation policy,,,user-driven innovation,,sustainability innovation,,,semiconductor industry,
social venture,user practice,domestication,co-creation,simplicity,crowdfunding,implicit referral,,,marketing research,,,,,sustainable development,,,,
end user entrepreneur,clinician,script,customization toolkit,digital health,crowdfunding platform,inexact referral,,,participatory design,,,,,,,,,
entrepreneurial consumer,healthcare,use knowledge,knowledge,digital transformation,entrepreneurship,intermediate referral,,,social presence,,,,,,,,,
entrepreneurship proces,makerspace,handicraft,leading edge statu,e-healthcare,user community,network search,,,user centred design,,,,,,,,,
ownership,complementarity,product development,personalization,telemedicine,user entrepreneur,pyramiding,,,user driven innovation,,,,,,,,,
platform,innovation ecosystem,creative consumer,product design,user-centered design,evolutionary approach,rare research subject,,,user involvement,,,,,,,,,
second life,smart home,living lab,social networking service,external knowledge,spinout,cooperation,,,do-it-yourself,,,,,,,,,
virtual world,system of use,radical innovation,theory,innovation performance,strategy and firm performance,front end,,,enabling technology,,,,,,,,,
,corporate venture capital,role theory,user design,interaction method,knowledge-based view,user-manufacturer interaction,,,product innovation,,,,,,,,,
,new product development,customercentered innovation,corporate entrepreneurship,improvisation,patents and intellectual property right,innovation diffusion proces,,,social innovation,,,,,,,,,
,technology entrepreneurship,lead-user research,corporate venture,knowledge acquisition,technology and innovation management,source of innovation,,,firm-user collaboration,,,,,,,,,
,customer integration,developing country,fuzzy front end,knowledge utilization,reasoned action,lead user method,,,innovation strategy,,,,,,,,,
,learning strategy,mobile banking service,lead user theory,user generated content,user innovator,lead user workshop,,,review,,,,,,,,,
,service ecosystem,technology diffusion,netnography,market entry strategy,,online brand community,,,,,,,,,,,,
,sustainability,employee user,social medium,user-designed product,,open innovation accelerator,,,,,,,,,,,,
,facilitation,ethnography,flow,,,sticky information,,,,,,,,,,,,
,organisational support mechanism,hiding practice,web 2.0,,,,,,,,,,,,,,,
,public hospital,military,,,,,,,,,,,,,,,,
,role of user,polouse,,,,,,,,,,,,,,,,
,,financial software innovation,,,,,,,,,,,,,,,,
,,impulse response function (irf) analysi,,,,,,,,,,,,,,,,
,,knowledge sourcing,,,,,,,,,,,,,,,,
,,vector autoregressive (var) model,,,,,,,,,,,,,,,,
,,front loading,,,,,,,,,,,,,,,,
,,open source,,,,,,,,,,,,,,,,
,,problem solving,,,,,,,,,,,,,,,,
,,software development,,,,,,,,,,,,,,,,
,,incorporated user,,,,,,,,,,,,,,,,
,,medical technology,,,,,,,,,,,,,,,,
,,roles in innovation,,,,,,,,,,,,,,,,
,,social network analysi,,,,,,,,,,,,,,,,
,,interaction,,,,,,,,,,,,,,,,
,,network,,,,,,,,,,,,,,,,
,,moderation,,,,,,,,,,,,,,,,
,,organisational context,,,,,,,,,,,,,,,,
,,radical innovation performance,,,,,,,,,,,,,,,,
,,open innovation platform,,,,,,,,,,,,,,,,
,,spillover effect,,,,,,,,,,,,,,,,
,,user interaction,,,,,,,,,,,,,,,,
,,open source software,,,,,,,,,,,,,,,,
,,r&amp;d efficiency,,,,,,,,,,,,,,,,
,,research quotient,,,,,,,,,,,,,,,,
