maroon,teal,gold,orange,green,yellow,pink,blue,purple,cyan,magenta,indigo,red,brown
3d printing,digital remixing,user innovation,agent-based social simulation,altruism,crowdsourcing,attention,brand community,case study,configurational movement,construal level theory,customer-active paradigm,differential game,integrated model
innovation diffusion theory,motivation,articulation,community,chinese large-scale survey,crowdfunding,ideation,lead user,community collaborative action,energy transition,mobile data service,literature review,firm-sponsored online user innovation community,super-network
online innovation community,online community,domestication,boundary management,household sector user innovation,crowdfunding platform,open innovation,willingness to share,firm-user virtual alliance,generalization proces,potential and actual user innovator,user toolkits for innovation,heterogeneous product user,user innovation knowledge
remixing,and phrases: online user innovation community,script,dilemma,intrinsic self-reward,entrepreneurship,opennes,combinatory search,product innovation,heat pump,user innovation theory,,incentive reward,
user-generated content,co-creation,use knowledge,firm-community collaboration,partnership,user community,social medium,implicit referral,value co-creation,technology diffusion,user service innovation,,product improvement,
consumer innovation,employee innovativenes,canon,paradox,,user entrepreneur,success bia,inexact referral,,,,,,
diffusion of innovation,online ideation,critical management study,systems theory,,human capital,suggestion,intermediate referral,,,,,,
renewable energy,customization toolkit,critical performativity,tension,,self-determination theory,digital innovation,network search,,,,,,
,knowledge,critique,clinician,,social capital,online user innovation community,pyramiding,,,,,,
,leading edge statu,subversive functionalism,healthcare,,user entrepreneurship,user contribution,rare research subject,,,,,,
,personalization,cocreation,innovation,,equity crowdfunding,user feedback,communication,,,,,,
,social networking service,codestruction,innovation policy,,evolutionary approach,distributed innovation,toolkit,,,,,,
,sources of innovation,creative consumer,makerspace,,randomized field experiment,knowledge sharing,cooperation,,,,,,
,theory,video game,collaboration,,spinout,performance of oss project,front end,,,,,,
,web 2.0,complementarity,network,,statistical discrimination,product development,user-manufacturer interaction,,,,,,
,corporate entrepreneurship,innovation ecosystem,online,,strategy and firm performance,user generated content (ugc),creativity,,,,,,
,corporate venture,smart home,user,,knowledge-based view,dual-process theory,embedded lead user,,,,,,
,fuzzy front end,system of use,corporate venture capital,,patents and intellectual property right,idea adoption,idea quality,,,,,,
,lead user theory,direct and indirect effect,new product development,,technology and innovation management,idea evaluation value,internal lead user,,,,,,
,netnography,education,technology entrepreneurship,,reasoned action,innovation rarenes,knowledge structure,,,,,,
,flow,gender,facilitation,,user innovator,user innovation community,online user innovation,,,,,,
,,personality,organisational support mechanism,,second life,user innovation evaluation,supernetwork,,,,,,
,,survey datum,public hospital,,virtual world,interaction,lead user method,,,,,,
,,discourse,post-adoptive behavior,,,sticky information,lead user workshop,,,,,,
,,open source software development,software engineer,,,,online brand community,,,,,,
,,textuality,technology artifact,,,,user involvement,,,,,,
,,entry strategy,,,,,video game industry,,,,,,
,,nascent industry,,,,,strategy,,,,,,
,,pre-entry experience,,,,,strategy evolution,,,,,,
,,product portfolio,,,,,,,,,,,
,,firm-user collaboration,,,,,,,,,,,
,,innovation management,,,,,,,,,,,
,,innovation strategy,,,,,,,,,,,
,,review,,,,,,,,,,,
,,front loading,,,,,,,,,,,
,,open source,,,,,,,,,,,
,,problem solving,,,,,,,,,,,
,,software development,,,,,,,,,,,
,,grand challenge,,,,,,,,,,,
,,open social innovation,,,,,,,,,,,
,,open innovation platform,,,,,,,,,,,
,,spillover effect,,,,,,,,,,,
,,user interaction,,,,,,,,,,,
