teal,brown,orange,navy,blue,olive,purple,indigo,darkviolet,magenta,green,pink,black,grey,coral,darkorange,darkblue,darkgreen,darkred,maroon,gold,yellow,red,cyan,lime,silver,crimson
3d community,collaboration,diffusion,user innovation,co-creation,absorptive capacity,open innovation,lead user,agent-based social simulation,altruism,appropriability regime,attention,open source,case study,chinese high technology industry,configurational movement,construal level theory,diffusion of innovation,creative maker,creativity,customer-perceived value,degree centrality,differential game,firm innovation,framing,integrated model,re-estimation
3d printing,user-generated content,biography of artifact,adopters’ creative thinking,digital remixing,organizational adoption,asymmetric equilibrium,opinion leadership,community,chinese large-scale survey,disruptive innovation,ideation,user community,community collaborative action,industry characteristic,energy transition,mobile data service,renewable energy,economic incentive,embedded lead user,opinion mining,innovation network,firm-sponsored online user innovation community,industrial robot,grand challenge,super-network,telephone vs. personal interview
ideal type,acquisition mechanism,bricolage,counter-learning communication,mass customisation,sources of innovation,compatibility choice,age,boundary management,household sector user innovation,environmental turbulence,openne,china and the west,company,sources of tpp innovation,generalization proce,potential and actual user innovator,innovation toolkit,entrepreneurial maker,idea quality,structural equation model,k-core embeddedne,heterogeneous product user,mediating effect,moral emotion,user innovation knowledge,underestimation
user entrepreneurship,crowdsourcing,configuration,mass market adoption,motivation,user innovation community,network effect,determinant,dilemma,intrinsic self-reward,functional novelty,social medium,comparative case,comparative study,,heat pump,user innovation theory,lag-user,product popularity,internal lead user,technology assessment,user innovation contribution,incentive reward,sustainability-oriented innovation,responsible innovation,,user innovation frequency
additive manufacturing,idea competition,innofusion,consumer innovation,online community,biase,open standard,product knowledge,firm-community collaboration,partnership,radical innovation,success bium,knowledge sharing,continuous interaction,,technology diffusion,user service innovation,laggard,product productivity,elu,technology strategy,,product improvement,unconventional source of innovation,serendipity,,
ambidexterity,innovation contest,peer production,free innovation,new product development,decision-maker,open-source software,silver market,paradox,,cocreation,suggestion,open source software project,driver,,developing country,,new product development method,social incentive,employee participation,economics of i,,,,open social innovation,,
digital fabrication,innovation tournament,user practice,market failure,and phrases: online user innovation community,theory practice gap,openness choice,technical expertise,systems theory,,codestruction,business model innovation,collaborative innovation,dynamic analysi,,mobile banking service,,resistance to innovation,,sustainability innovation,it policy and management,,,,,,
hackathon,intelligence,complementarity,articulation,employee innovativene,knowledge,spillover,use experience,tension,,creative consumer,dynamic capability,modularity,fan innovation,,,,simplicity,,sustainable development,productivity of it,,,,,,
hybridity,public relation,handicraft,domestication,online ideation,theory,benefit,agile project management,cognition,,fashion,supply chain business model,collective intelligence,firm-user virtual alliance,,,,small-scale energy technology,,market information processing,,,,,,,
innovation diffusion theory,adoption,product development,script,application market,cognitive overload,community-based innovation,agile/stage-gate hybrid,demand,,luxury brand,tea supply chain,human powered boat,impediment,,,,user-innovation,,organizational behavior,,,,,,,
institutional logic,compatibility,division of innovative labor,use knowledge,business model,message persuasion,consistency,scrum,perspective taking,,social comparison,user-driven innovation,open manufacturing,innovation policy,,,,,,organizational boundary,,,,,,,
localization of manufacturing,new product,externality,behavioral innovation,release strategy,user idea,contingency factor,stage-gate proce,user,,video game,co-innovation,product architecture,marketing research,,,,,,sticky knowledge,,,,,,,
