maroon,teal,gold,orange
3d printing,co-creation,collaboration,case study
diffusion,online community,user community,innovation management
motivation,crowdsourcing,innovation,innovation policy
user entrepreneurship,customer integration,community,user involvement
user innovation,new product development,entrepreneurship,
consumer innovation,open innovation,user,
free innovation,product development,,
household sector innovation,open source software,,
innovation diffusion,toolkit,,
,lead user,,
,open source,,
,social medium,,
