maroon,teal,gold,orange,green,red,blue,purple,pink,brown,yellow
acquisition mechanism,crowdsourcing,user innovation,altruism,collaboration,crowdfunding platform,customer-active paradigm,diffusion,evolutionary approach,flow,innovation measurement
idea competition,co-creation,knowledge,chinese large-scale survey,commercial diffusion,human capital,literature review,innovation ecosystem,knowledge-based view,motivation,patent
innovation contest,customer integration,sources of innovation,household sector user innovation,consumer innovation,self-determination theory,user toolkits for innovation,service ecosystem,patents and intellectual property right,online community,sectoral system
innovation tournament,handicraft,theory,intrinsic self-reward,innovation policy,social capital,,sustainability,technology and innovation management,web 2.0,semiconductor industry
intelligence,idea generation,cocreation,partnership,makerspace,user entrepreneurship,,,,,
open innovation,innovation,fashion,,community innovation,,,,,,
public relation,market performance,luxury brand,,daily practice,,,,,,
external knowledge,new product development,social comparison,,innovation behavior,,,,,,
innovation performance,product design,community-based innovation,,russium,,,,,,
interaction method,product development,consumer innovator,,diffusion of innovation,,,,,,
user involvement,user design,user community,,online innovation community,,,,,,
open evaluation,user-generated product,lead user,,renewable energy,,,,,,
innovation rarene,competition,netnography,,do-it-yourself,,,,,,
user innovation community,contest,social medium,,enabling technology,,,,,,
user innovation evaluation,new product,entrepreneurship,,product innovation,,,,,,
market entry strategy,consumer preference,equity crowdfunding,,social innovation,,,,,,
user-designed product,corporate association,randomized field experiment,,,,,,,,
,open source software,statistical discrimination,,,,,,,,
,social identity,financial software innovation,,,,,,,,
,corporate venture capital,impulse response function (irf) analysi,,,,,,,,
,technology entrepreneurship,knowledge sourcing,,,,,,,,
,learning strategy,vector autoregressive (var) model,,,,,,,,
,r&amp;d efficiency,,,,,,,,,
,research quotient,,,,,,,,,
