maroon,brown,magenta,orange,yellow,red,purple,pink,indigo,cyan,lime,navy,teal,gold,green,blue,olive
3d community,collaboration,diffusion,user innovation,open innovation,adoption,agile project management,case study,china and the west,chinese high technology industry,collective invention,creativity,customer-active paradigm,employee user,firm innovation,high-technology,integrated model
3d printing,crowdsourcing,biography of artifact,agent-based social simulation,acquisition mechanism,lead user,agile/stage-gate hybrid,company,comparative case,industry characteristic,commons-based peer production,embedded lead user,literature review,ethnography,industrial robot,patent,super-network
ideal type,innovation management,bricolage,community,idea competition,new product,new product development,comparative study,knowledge sharing,sources of tpp innovation,comparative analysi,idea quality,user toolkits for innovation,hiding practice,mediating effect,semiconductor,user innovation knowledge
user entrepreneurship,dynamic,configuration,articulation,innovation contest,opinion leadership,scrum,continuous interaction,open source software project,,distributed innovation,internal lead user,,military,sustainability-oriented innovation,innovation measurement,
digital remixing,entrepreneurship,innofusion,domestication,innovation tournament,age,stage-gate proce,driver,,,free revealing of information,elu,,polouse,unconventional source of innovation,sectoral system,
motivation,open source software,innovation,script,intelligence,determinant,corporate venture capital,dynamic analysi,,,innovation model,employee participation,,,,semiconductor industry,
online community,organization,peer production,use knowledge,public relation,product knowledge,technology entrepreneurship,fan innovation,,,open source,sustainability innovation,,,,,
absorptive capacity,organizational aspect,user practice,behavioral innovation,diffusion of innovation,silver market,customer integration,impediment,,,user innovation network,sustainable development,,,,,
organizational adoption,research and development management,clinician,feminist economic,innovation toolkit,technical expertise,learning strategy,innovation policy,,,front loading,,,,,,
sources of innovation,technology management,healthcare,household sector innovation,lag-user,use experience,,marketing research,,,problem solving,,,,,,
user innovation community,user-generated content,makerspace,innovation diffusion,laggard,brand community,,participatory design,,,software development,,,,,,
netnography,virtual group,complementarity,technique innovation,new product development method,willingness to share,,social presence,,,,,,,,,
social medium,crowdfunding,innovation ecosystem,co-creation,resistance to innovation,combinatory search,,user centred design,,,,,,,,,
digital technology,crowdfunding platform,smart home,customization toolkit,simplicity,implicit referral,,user community,,,,,,,,,
odds-ratio,user entrepreneur,system of use,handicraft,digital health,inexact referral,,user driven innovation,,,,,,,,,
social venture,evolutionary approach,service ecosystem,knowledge,digital transformation,intermediate referral,,user involvement,,,,,,,,,
end user entrepreneur,spinout,sustainability,leading edge statu,e-healthcare,network search,,do-it-yourself,,,,,,,,,
entrepreneurial consumer,strategy and firm performance,facilitation,personalization,telemedicine,pyramiding,,enabling technology,,,,,,,,,
entrepreneurship proce,knowledge-based view,organisational support mechanism,product design,user-centered design,rare research subject,,product innovation,,,,,,,,,
flow,patents and intellectual property right,public hospital,product development,improvisation,cooperation,,social innovation,,,,,,,,,
web 2.0,technology and innovation management,,social networking service,knowledge acquisition,front end,,external knowledge,,,,,,,,,
locus of innovation,firm-user collaboration,,theory,knowledge utilization,user-manufacturer interaction,,innovation performance,,,,,,,,,
role of user,innovation strategy,,user design,user generated content,creative consumer,,interaction method,,,,,,,,,
ownership,review,,community innovation,market entry strategy,living lab,,reasoned action,,,,,,,,,
platform,,,consumer innovation,user-designed product,radical innovation,,user innovator,,,,,,,,,
second life,,,daily practice,,role theory,,,,,,,,,,,
virtual world,,,innovation behavior,,innovation diffusion proce,,,,,,,,,,,
,,,russium,,source of innovation,,,,,,,,,,,
,,,corporate entrepreneurship,,innovation in consumer market,,,,,,,,,,,
,,,corporate venture,,innovation proce,,,,,,,,,,,
,,,fuzzy front end,,lead user method,,,,,,,,,,,
,,,lead user theory,,lead user workshop,,,,,,,,,,,
,,,customercentered innovation,,online brand community,,,,,,,,,,,
,,,lead-user research,,open innovation accelerator,,,,,,,,,,,
,,,developing country,,service innovation,,,,,,,,,,,
,,,mobile banking service,,service lead user,,,,,,,,,,,
,,,technology diffusion,,user integration,,,,,,,,,,,
,,,financial software innovation,,property rights theory,,,,,,,,,,,
,,,impulse response function (irf) analysi,,separation of ownership and control,,,,,,,,,,,
,,,knowledge sourcing,,user innovation barrier,,,,,,,,,,,
,,,vector autoregressive (var) model,,,,,,,,,,,,,
,,,incorporated user,,,,,,,,,,,,,
,,,medical technology,,,,,,,,,,,,,
,,,roles in innovation,,,,,,,,,,,,,
,,,social network analysi,,,,,,,,,,,,,
,,,interaction,,,,,,,,,,,,,
,,,network,,,,,,,,,,,,,
,,,sticky information,,,,,,,,,,,,,
,,,local information,,,,,,,,,,,,,
,,,moderation,,,,,,,,,,,,,
,,,organisational context,,,,,,,,,,,,,
,,,radical innovation performance,,,,,,,,,,,,,
