magenta,teal,navy,orange,green,yellow,silver,blue,purple,pink,brown,indigo,lime,olive,black,maroon,gold,cyan,red
3d community,collaboration,diffusion,user entrepreneurship,absorptive capacity,open innovation,lead user,agile project management,altruism,case study,china and the west,chinese high technology industry,co-innovation,collective invention,customer-active paradigm,evolutionary approach,firm innovation,high-technology,integrated model
3d printing,crowdsourcing,adoption,digital technology,organizational adoption,acquisition mechanism,age,agile/stage-gate hybrid,chinese large-scale survey,company,comparative case,industry characteristic,domain-based review,commons-based peer production,literature review,spinout,industrial robot,patent,super-network
ideal type,innovation management,new product,odds-ratio,sources of innovation,idea competition,determinant,new product development,household sector user innovation,comparative study,knowledge sharing,sources of tpp innovation,meta-systematic review,comparative analysi,user toolkits for innovation,strategy and firm performance,mediating effect,semiconductor,user innovation knowledge
user innovation,driver,opinion leadership,social venture,user innovation community,innovation contest,product knowledge,scrum,intrinsic self-reward,continuous interaction,open source software project,,npd,distributed innovation,,knowledge-based view,sustainability-oriented innovation,innovation measurement,
digital remixing,dynamic analysi,biography of artifact,end user entrepreneur,co-creation,innovation tournament,silver market,stage-gate proce,partnership,fan innovation,,,pm,free revealing of information,,patents and intellectual property right,unconventional source of innovation,sectoral system,
motivation,impediment,bricolage,entrepreneurial consumer,customization toolkit,intelligence,technical expertise,corporate venture capital,,innovation policy,,,user engagement,innovation model,,technology and innovation management,,semiconductor industry,
online community,user community,configuration,entrepreneurship proce,handicraft,public relation,use experience,technology entrepreneurship,,marketing research,,,user-driven innovation,open source,,,,,
adopters’ creative thinking,dynamic,innofusion,ownership,knowledge,embedded lead user,brand community,customer integration,,participatory design,,,,user innovation network,,,,,
counter-learning communication,entrepreneurship,innovation,platform,leading edge statu,diffusion of innovation,willingness to share,learning strategy,,social presence,,,,front loading,,,,,
mass market adoption,open source software,peer production,second life,personalization,innovation toolkit,combinatory search,,,user centred design,,,,problem solving,,,,,
agent-based social simulation,organization,user practice,virtual world,product design,lag-user,implicit referral,,,user driven innovation,,,,software development,,,,,
community,organizational aspect,clinician,,product development,laggard,inexact referral,,,user involvement,,,,,,,,,
articulation,research and development management,healthcare,,social networking service,new product development method,intermediate referral,,,do-it-yourself,,,,,,,,,
domestication,technology management,makerspace,,theory,resistance to innovation,network search,,,enabling technology,,,,,,,,,
script,user-generated content,complementarity,,user design,simplicity,pyramiding,,,product innovation,,,,,,,,,
use knowledge,virtual group,innovation ecosystem,,corporate entrepreneurship,digital health,rare research subject,,,social innovation,,,,,,,,,
behavioral innovation,crowdfunding,smart home,,corporate venture,digital transformation,cooperation,,,external knowledge,,,,,,,,,
feminist economic,crowdfunding platform,system of use,,fuzzy front end,e-healthcare,front end,,,innovation performance,,,,,,,,,
household sector innovation,user entrepreneur,service ecosystem,,lead user theory,telemedicine,user-manufacturer interaction,,,interaction method,,,,,,,,,
innovation diffusion,firm-user collaboration,sustainability,,interaction,user-centered design,creative consumer,,,,,,,,,,,,
technique innovation,innovation strategy,facilitation,,network,elu,living lab,,,,,,,,,,,,
community innovation,review,organisational support mechanism,,r&amp;d efficiency,employee participation,radical innovation,,,,,,,,,,,,
consumer innovation,reasoned action,public hospital,,research quotient,sustainability innovation,role theory,,,,,,,,,,,,
daily practice,user innovator,innovation diffusion proce,,,sustainable development,creativity,,,,,,,,,,,,
innovation behavior,,source of innovation,,,improvisation,idea quality,,,,,,,,,,,,
russium,,,,,knowledge acquisition,internal lead user,,,,,,,,,,,,
netnography,,,,,knowledge utilization,innovation in consumer market,,,,,,,,,,,,
social medium,,,,,user generated content,innovation proce,,,,,,,,,,,,
customercentered innovation,,,,,market entry strategy,lead user method,,,,,,,,,,,,
lead-user research,,,,,user-designed product,lead user workshop,,,,,,,,,,,,
developing country,,,,,,online brand community,,,,,,,,,,,,
mobile banking service,,,,,,open innovation accelerator,,,,,,,,,,,,
technology diffusion,,,,,,service innovation,,,,,,,,,,,,
employee user,,,,,,service lead user,,,,,,,,,,,,
ethnography,,,,,,user integration,,,,,,,,,,,,
hiding practice,,,,,,property rights theory,,,,,,,,,,,,
military,,,,,,separation of ownership and control,,,,,,,,,,,,
polouse,,,,,,user innovation barrier,,,,,,,,,,,,
financial software innovation,,,,,,,,,,,,,,,,,,
impulse response function (irf) analysi,,,,,,,,,,,,,,,,,,
knowledge sourcing,,,,,,,,,,,,,,,,,,
vector autoregressive (var) model,,,,,,,,,,,,,,,,,,
flow,,,,,,,,,,,,,,,,,,
web 2.0,,,,,,,,,,,,,,,,,,
incorporated user,,,,,,,,,,,,,,,,,,
medical technology,,,,,,,,,,,,,,,,,,
roles in innovation,,,,,,,,,,,,,,,,,,
social network analysi,,,,,,,,,,,,,,,,,,
sticky information,,,,,,,,,,,,,,,,,,
local information,,,,,,,,,,,,,,,,,,
moderation,,,,,,,,,,,,,,,,,,
organisational context,,,,,,,,,,,,,,,,,,
radical innovation performance,,,,,,,,,,,,,,,,,,
role of user,,,,,,,,,,,,,,,,,,
open innovation platform,,,,,,,,,,,,,,,,,,
spillover effect,,,,,,,,,,,,,,,,,,
user interaction,,,,,,,,,,,,,,,,,,
