maroon,teal,gold,orange,green
3d printing,user innovation,crowdsourcing,innovation,consumer innovation
co-creation,case study,open innovation,collaboration,diffusion
motivation,user involvement,lead user,community,household sector innovation
online community,product development,social medium,new product development,
user innovation community,toolkit,sticky information,user,
,complementarity,,entrepreneurship,
,open source,,,
,open source software,,,
,living lab,,,
,lead user theory,,,
,mass customization,,,
,user entrepreneurship,,,
