maroon,teal,gold,green,blue,red,purple,yellow,orange
absorptive capacity,adoption,appropriability regime,co-creation,collective intelligence,combinatory search,communication,customer-active paradigm,diffusion
online community,compatibility,disruptive innovation,customization toolkit,human powered boat,implicit referral,innovation,literature review,innovation ecosystem
open innovation,open source software,environmental turbulence,leading edge statu,modularity,inexact referral,toolkit,user toolkits for innovation,service ecosystem
organizational adoption,toolkits for innovation,functional novelty,personalization,open manufacturing,intermediate referral,web 2.0,,sustainability
sources of innovation,,radical innovation,social networking service,open source,lead user,post-adoptive behavior,,
user innovation community,,user innovation,,product architecture,network search,software engineer,,
customer integration,,creative consumer,,user community,pyramiding,technology artifact,,
learning strategy,,living lab,,front loading,rare research subject,life science,,
new product development,,role theory,,problem solving,crowdsourcing,research solution,,
innovation rarene,,customercentered innovation,,software development,netnography,,,
user innovation evaluation,,lead-user research,,innovation proce,social medium,,,
role of user,,incorporated user,,key user,innovation diffusion proce,,,
,,medical technology,,modularisation,opinion leadership,,,
,,roles in innovation,,project management,source of innovation,,,
,,social network analysi,,software,,,,
,,lead user method,,,,,,
,,lead user workshop,,,,,,
,,open innovation accelerator,,,,,,
,,user involvement,,,,,,
