teal,gold,pink,green,red,blue,maroon,orange,purple,yellow
"amft, andré","baldwin, carliss","von hippel, eric","balka, kerstin","bradonjic, philip","lüthje, christian","felin, teppo","füller, johann","haefliger, stefan","jeppesen, lars bo"
"diener, kathleen","hienerth, christoph","chen, jin","herstatt, cornelius","franke, nikolaus","ebbing, tobias","lakhani, karim r.","jawecki, gregor","jäger, peter","frederiksen, lars"
"lüttgens, dirk","keinz, peter","de jong, jeroen p.j.","raasch, christina","klausberger, katharina","goduscheit, rené chester","tushman, michael l.","matzler, kurt","von krogh, georg",
"piller, frank t.","gemünden, hans georg","su, yu shan","block, jörn h.","reinsberger, kathrin","jørgensen, jacob høj","west, joel","mühlbacher, hans",,
"ihl, christoph","killen, catherine p.","flowers, stephen","henkel, joachim","schirg, florian","hinsch, mareike e.",,"schroll, roland",,
"tarman, refik tarcan","sicotte, hélène","gault, fred","schweisfurth, tim g.","schreier, martin","stockstrom, christoph s.",,,,
"vossen, alexander","berg jensen, morten","gillert, nils lennart","stiegler, annika",,"morrison, pamela d.",,,,
"kleer, robin","lettl, christopher","kuusisto, jari","braun, viktor",,"roberts, john h.",,,,
"pollok, patrick",,"stock, ruth maria","gambardella, alfonso",,"tietz, robert",,,,
"steiner, frank",,"kuusisto, arja","lock, phillip",,,,,,
,,"yli-viitala, pirjo","lehnen, jens",,,,,,
,,"mulhuijzen, max","schmidt, tobias sebastian",,,,,,
,,"oliveira, pedro","pieper, thorsten",,,,,,
,,"euchner, jim","skiba, florian",,,,,,
,,"katz, ralph","tietze, frank",,,,,,
,,"kaulartz, sandro","wellner, konstantin",,,,,,
,,"paradiso, joseph a.","zaggl, michael a.",,,,,,
