orange,teal,gold,yellow,green,red,pink,maroon,blue,purple,brown
"altman, elizabeth j.","amft, andré","baldwin, carliss*","balka, kerstin","bradonjic, philip","lüthje, christian*","de jong, jeroen p.j.*","felin, teppo","füller, johann*","haefliger, stefan","jeppesen, lars bo*"
"szulanski, gabriel","diener, kathleen","hienerth, christoph*","herstatt, cornelius*","franke, nikolaus*","ebbing, tobias","flowers, stephen","lakhani, karim r.*","jawecki, gregor","jäger, peter","frederiksen, lars"
"von hippel, eric*","lüttgens, dirk","keinz, peter","raasch, christina*","klausberger, katharina","goduscheit, rené chester","gault, fred*","tushman, michael l.","matzler, kurt","von krogh, georg*",
"chen, jin","piller, frank t.*","gemünden, hans georg","block, jörn h.","reinsberger, kathrin","jørgensen, jacob høj","gillert, nils lennart","west, joel","mühlbacher, hans",,
"su, yu shan","ihl, christoph","killen, catherine p.","henkel, joachim*","schirg, florian","hinsch, mareike e.","kuusisto, jari*",,"schroll, roland",,
"friedmann, jens christian","vossen, alexander","sicotte, hélène","schweisfurth, tim g.","schreier, martin","stockstrom, christoph s.","mulhuijzen, max",,,,
"wu, nety","kleer, robin","berg jensen, morten","stiegler, annika","nishikawa, hidehiko","morrison, pamela d.","poldervaart, sabrine",,,,
"oliveira, pedro","pollok, patrick","lettl, christopher*","gambardella, alfonso","ogawa, susumu*","roberts, john h.","rigtering, coen",,,,
"euchner, jim",,,"von hippel, eric","pongtanalert, kritinee","tietz, robert","schemmann, brita",,,,
"katz, ralph",,,"lock, phillip",,,"spaans, lara",,,,
"kaulartz, sandro",,,"lehnen, jens",,,"stock, ruth maria*",,,,
"paradiso, joseph a.",,,"schmidt, tobias sebastian",,,"kuusisto, arja",,,,
,,,"pieper, thorsten",,,"yli-viitala, pirjo",,,,
,,,"preißner, stephanie",,,"wu, chia huei",,,,
,,,"skiba, florian",,,"yu, xin",,,,
,,,"tietze, frank",,,,,,,
,,,"wellner, konstantin",,,,,,,
,,,"zaggl, michael a.",,,,,,,
