maroon,teal,gold,blue,green,yellow,red,purple,pink,brown,orange
"altman, elizabeth j.","amft, andré","baldwin, carliss*","balka, kerstin","herstatt, cornelius*","bradonjic, philip","lüthje, christian*","felin, teppo","füller, johann*","haefliger, stefan","jeppesen, lars bo*"
"szulanski, gabriel","diener, kathleen","hienerth, christoph*","raasch, christina*","block, jörn h.","franke, nikolaus*","ebbing, tobias","lakhani, karim r.*","jawecki, gregor","jäger, peter","frederiksen, lars"
"von hippel, eric*","lüttgens, dirk","keinz, peter","chen, jin","henkel, joachim*","klausberger, katharina","goduscheit, rené chester","tushman, michael l.","matzler, kurt","von krogh, georg*",
"friedmann, jens christian","piller, frank t.*","gemünden, hans georg","de jong, jeroen p.j.*","schweisfurth, tim g.","reinsberger, kathrin","jørgensen, jacob høj","west, joel","mühlbacher, hans",,
"wu, nety","ihl, christoph","killen, catherine p.","su, yu shan","stiegler, annika","schirg, florian","hinsch, mareike e.",,"schroll, roland",,
"oliveira, pedro","vossen, alexander","sicotte, hélène","flowers, stephen","von hippel, eric","schreier, martin","stockstrom, christoph s.",,,,
"euchner, jim","kleer, robin","berg jensen, morten","gault, fred*","lehnen, jens","nishikawa, hidehiko","morrison, pamela d.",,,,
"katz, ralph","pollok, patrick","lettl, christopher*","gillert, nils lennart","schmidt, tobias sebastian","ogawa, susumu*","roberts, john h.",,,,
"kaulartz, sandro",,,"kuusisto, jari*","pieper, thorsten","pongtanalert, kritinee","tietz, robert",,,,
"paradiso, joseph a.",,,"mulhuijzen, max","skiba, florian",,,,,,
,,,"poldervaart, sabrine","tietze, frank",,,,,,
,,,"rigtering, coen","wellner, konstantin",,,,,,
,,,"schemmann, brita","zaggl, michael a.",,,,,,
,,,"spaans, lara",,,,,,,
,,,"stock, ruth maria*",,,,,,,
,,,"gambardella, alfonso",,,,,,,
,,,"lock, phillip",,,,,,,
,,,"kuusisto, arja",,,,,,,
,,,"yli-viitala, pirjo",,,,,,,
,,,"preißner, stephanie",,,,,,,
,,,"wu, chia huei",,,,,,,
,,,"yu, xin",,,,,,,
