maroon,yellow,gold,pink,blue,purple,brown,teal,orange,green,red
"altman, elizabeth j.","amft, andré","baldwin, carliss*","balka, kerstin","bradonjic, philip","lüthje, christian*","chen, jin","felin, teppo","füller, johann*","haefliger, stefan","jeppesen, lars bo*"
"szulanski, gabriel","diener, kathleen","hienerth, christoph*","herstatt, cornelius*","franke, nikolaus*","ebbing, tobias","de jong, jeroen p.j.*","lakhani, karim r.*","jawecki, gregor","jäger, peter","frederiksen, lars"
"von hippel, eric*","lüttgens, dirk","keinz, peter","raasch, christina*","klausberger, katharina","goduscheit, rené chester","su, yu shan","tushman, michael l.","matzler, kurt","von krogh, georg*",
"friedmann, jens christian","piller, frank t.*","gemünden, hans georg","block, jörn h.","reinsberger, kathrin","jørgensen, jacob høj","flowers, stephen","west, joel","mühlbacher, hans",,
"wu, nety","ihl, christoph","killen, catherine p.","henkel, joachim*","schirg, florian","hinsch, mareike e.","gault, fred*",,"schroll, roland",,
"oliveira, pedro","vossen, alexander","sicotte, hélène","schweisfurth, tim g.","schreier, martin","stockstrom, christoph s.","gillert, nils lennart",,,,
"euchner, jim","kleer, robin","berg jensen, morten","stiegler, annika","nishikawa, hidehiko","morrison, pamela d.","kuusisto, jari*",,,,
"katz, ralph","pollok, patrick","lettl, christopher*","poldervaart, sabrine","ogawa, susumu*","roberts, john h.","mulhuijzen, max",,,,
"kaulartz, sandro",,,"gambardella, alfonso","pongtanalert, kritinee","tietz, robert","rigtering, coen",,,,
"paradiso, joseph a.",,,"von hippel, eric",,,"schemmann, brita",,,,
,,,"lock, phillip",,,"spaans, lara",,,,
,,,"lehnen, jens",,,"stock, ruth maria*",,,,
,,,"schmidt, tobias sebastian",,,"kuusisto, arja",,,,
,,,"pieper, thorsten",,,"yli-viitala, pirjo",,,,
,,,"preißner, stephanie",,,"yu, xin",,,,
,,,"skiba, florian",,,,,,,
,,,"tietze, frank",,,,,,,
,,,"wellner, konstantin",,,,,,,
,,,"wu, chia huei",,,,,,,
,,,"zaggl, michael a.",,,,,,,
