maroon,pink,blue,green,yellow,gold,purple,teal,orange,red,brown
"altman, elizabeth j.","amft, andré","baldwin, carliss*","balka, kerstin","raasch, christina*","bradonjic, philip","lüthje, christian*","felin, teppo","füller, johann*","haefliger, stefan","jeppesen, lars bo*"
"szulanski, gabriel","diener, kathleen","hienerth, christoph*","herstatt, cornelius*","de jong, jeroen p.j.*","franke, nikolaus*","ebbing, tobias","lakhani, karim r.*","jawecki, gregor","jäger, peter","frederiksen, lars"
"von hippel, eric*","lüttgens, dirk","keinz, peter","block, jörn h.","gault, fred*","klausberger, katharina","goduscheit, rené chester","tushman, michael l.","matzler, kurt","von krogh, georg*",
"chen, jin","piller, frank t.*","gemünden, hans georg","henkel, joachim*","gillert, nils lennart","reinsberger, kathrin","jørgensen, jacob høj","west, joel","mühlbacher, hans",,
"su, yu shan","ihl, christoph","killen, catherine p.","schweisfurth, tim g.","kuusisto, jari*","schirg, florian","hinsch, mareike e.",,"schroll, roland",,
"flowers, stephen","vossen, alexander","sicotte, hélène","stiegler, annika","mulhuijzen, max","schreier, martin","stockstrom, christoph s.",,,,
"friedmann, jens christian","kleer, robin","berg jensen, morten","von hippel, eric","poldervaart, sabrine","nishikawa, hidehiko","morrison, pamela d.",,,,
"wu, nety","pollok, patrick","lettl, christopher*","lock, phillip","rigtering, coen","ogawa, susumu*","roberts, john h.",,,,
"gambardella, alfonso",,,"lehnen, jens","schemmann, brita","pongtanalert, kritinee","tietz, robert",,,,
"oliveira, pedro",,,"schmidt, tobias sebastian","spaans, lara",,,,,,
"euchner, jim",,,"pieper, thorsten","stock, ruth maria*",,,,,,
"katz, ralph",,,"preißner, stephanie","kuusisto, arja",,,,,,
"kaulartz, sandro",,,"skiba, florian","yli-viitala, pirjo",,,,,,
"paradiso, joseph a.",,,"tietze, frank","wu, chia huei",,,,,,
,,,"wellner, konstantin","yu, xin",,,,,,
,,,"zaggl, michael a.",,,,,,,
