orange,teal,red,green,gold,blue,pink,maroon,yellow,purple,brown
"altman, elizabeth j.","amft, andré","baldwin, carliss*","balka, kerstin","bradonjic, philip","lüthje, christian*","chen, jin","felin, teppo","füller, johann*","haefliger, stefan","jeppesen, lars bo*"
"szulanski, gabriel","diener, kathleen","hienerth, christoph*","herstatt, cornelius*","franke, nikolaus*","ebbing, tobias","de jong, jeroen p.j.*","lakhani, karim r.*","jawecki, gregor","jäger, peter","frederiksen, lars"
"von hippel, eric*","lüttgens, dirk","keinz, peter","raasch, christina*","klausberger, katharina","goduscheit, rené chester","su, yu shan","tushman, michael l.","matzler, kurt","von krogh, georg*",
"friedmann, jens christian","piller, frank t.*","gemünden, hans georg","block, jörn h.","reinsberger, kathrin","jørgensen, jacob høj","flowers, stephen","west, joel","mühlbacher, hans",,
"wu, nety","ihl, christoph","killen, catherine p.","henkel, joachim*","schirg, florian","hinsch, mareike e.","gault, fred*",,"schroll, roland",,
"gambardella, alfonso","vossen, alexander","sicotte, hélène","schweisfurth, tim g.","schreier, martin","stockstrom, christoph s.","gillert, nils lennart",,,,
"oliveira, pedro","kleer, robin","berg jensen, morten","stiegler, annika","nishikawa, hidehiko","morrison, pamela d.","kuusisto, jari*",,,,
"euchner, jim","pollok, patrick","lettl, christopher*","von hippel, eric","ogawa, susumu*","roberts, john h.","mulhuijzen, max",,,,
"katz, ralph",,,"lock, phillip","pongtanalert, kritinee","tietz, robert","poldervaart, sabrine",,,,
"kaulartz, sandro",,,"lehnen, jens",,,"rigtering, coen",,,,
"paradiso, joseph a.",,,"schmidt, tobias sebastian",,,"schemmann, brita",,,,
,,,"pieper, thorsten",,,"spaans, lara",,,,
,,,"preißner, stephanie",,,"stock, ruth maria*",,,,
,,,"skiba, florian",,,"kuusisto, arja",,,,
,,,"tietze, frank",,,"yli-viitala, pirjo",,,,
,,,"wellner, konstantin",,,"wu, chia huei",,,,
,,,"zaggl, michael a.",,,"yu, xin",,,,
