teal,orange,gold,green,maroon
"baldwin, carliss","von hippel, eric","chen, jin","franke, nikolaus","stock, ruth maria"
"hienerth, christoph","füller, johann","de jong, jeroen p.j.","schreier, martin","gillert, nils lennart"
"berg jensen, morten","schroll, roland","su, yu shan",,
,"herstatt, cornelius","flowers, stephen",,
,"lakhani, karim r.","gault, fred",,
,"lüthje, christian","kuusisto, jari",,
,"morrison, pamela d.","raasch, christina",,
,"roberts, john h.","gambardella, alfonso",,
,"oliveira, pedro",,,
,"euchner, jim",,,
,"katz, ralph",,,
,"kaulartz, sandro",,,
,"paradiso, joseph a.",,,
