maroon,gold,orange,teal,green
"altman, elizabeth j.","baldwin, carliss*","chen, jin","franke, nikolaus*","füller, johann*"
"szulanski, gabriel","hienerth, christoph*","de jong, jeroen p.j.*","schreier, martin","schroll, roland"
"friedmann, jens christian","von hippel, eric*","su, yu shan",,
"wu, nety","herstatt, cornelius*","flowers, stephen",,
,"berg jensen, morten","gault, fred*",,
,"lakhani, karim r.*","kuusisto, jari*",,
,"lüthje, christian*","raasch, christina*",,
,"morrison, pamela d.","gambardella, alfonso",,
,"roberts, john h.",,,
,"oliveira, pedro",,,
,"stock, ruth maria*",,,
,"gillert, nils lennart",,,
,"euchner, jim",,,
,"katz, ralph",,,
,"kaulartz, sandro",,,
,"paradiso, joseph a.",,,
