gold,green,orange,yellow,red,pink,cyan,teal,maroon,indigo,blue,purple,brown
"afuah, allan","bilgram, volker","bortoluzzi, guido","cao, xinyan","dahl, darren w.","della santa, silvia","gong, yu","hakkarainen, louna","hamdi-kidar, linda","hossain, mokter","kankanhalli, atreyi","koch, stefan","liao, xiao"
"bastian, bettina","gutstein, adele","yordanova, zornitsa","fang, xiang","fuchs, christoph","marchi, gianluca","jia, fu","heiskanen, eva","keinz, peter","leminen, seppo","kim, seung hyun","artmayr, philipp","xi, yunjiang"
"bogers, marcel","marchuk, anna","escobar, octavio","yang, yu","schreier, martin","tagliazucchi, giulia","shi, yangyan","helminen, pia","le nagard, emmanuelle","westerlund, mika","teo, hock hai","bierbamer, michael","ye, guangyu"
"mccarthy, ian p.","brem, alexander","khvatova, tatiana","chai, ruirui","prandelli, emanuela","giachetti, claudio","zhang, yufang","freeman, stephanie","vellera, cyrielle","nyström, anna greta","ye, hua jonathan","guceri-ucar, gozem","yu, juan"
"pitt, leyland","gladysz, bartosz","maalaoui, adnane","liu, wei","nishikawa, hidehiko","de gennaro, pamela","sun, yanhua","johnson, mikael","vernette, eric","rajahonka, mervi","li, mingguo","inanc, duygu","zantow, kenneth"
"west, joel","ernst, markus","schiavone, francesco",,"ogawa, susumu",,,"juntunen, jouni k.",,"pacauskas, darius","ye, hua",,
,"schulz, stefanie","villasalero, manuel",,"oberhauser, stefan",,,"mäkinen, samuli",,"mäntymäki, matti",,,
,,"ghasemzadeh, khatereh",,"prügl, reinhard",,,"hyysalo, sampsa",,"rajala, risto",,,
,,,,"pongtanalert, kritinee",,,"repo, petteri",,,,,
,,,,"pasquini, martina",,,"timonen, päivi",,,,,
,,,,"verona, gianmario",,,"usenyuk, svetlana",,,,,
,,,,,,,"kristensson, per",,,,,
,,,,,,,"stewart, james",,,,,
,,,,,,,"trischler, jakob",,,,,
