maroon,teal,gold,orange,green,yellow,red,blue,purple,pink,brown,indigo,cyan,magenta,lime,silver,black,crimson,grey,coral,darkblue,darkgreen,darkcyan,darkviolet,darkorange,darkmagenta,darkturquoise,deeppink,dodgerblue,firebrick,forestgreen,fuchsia,goldenrod,greenyellow,indianred,olive,navy,darkred,hotpink
"abrate, graziano","adams, pamela","afuah, allan","ahvari, hooman","andriani, pierpaolo","berends, hans","bilgram, volker","bortoluzzi, guido","browder, russell e.","bäckström, izabelle","chandra, yanto","chatterji, aaron k.","chou, jerome chih lung","cui, miao","de jong, jeroen p.j.","faulkner, philip","fursov, konstantin","globocnik, dietfried","haller, jörg b.a.","hamdi-kidar, linda","hartmann, mia rosa","hassan, salah s.","helminen, pia","hu, suya","jahanmir, sara f.","karantinou, kalipso","lauritzen, ghita dragsdahl","leminen, seppo","liao, xiao","lu, yaobin","miyazawa, jun ichi","nielsen, kristian roed","peine, alexander","rayna, thierry","shermon, anavir","shin, hyun","stanko, michael a.","von hippel, christiana d.","wang, yonggui"
"baima, gabriele","fontana, roberto","bastian, bettina","ekhlassi, amir","de toni, alberto felice","deken, fleur","gutstein, adele","yordanova, zornitsa","crider, cole j.","bengtsson, lars","leenders, mark a.a.m.","fabrizio, kira","dong, tse ping","liu, yan","poldervaart, sabrine","runde, jochen","linton, jonathan","faullant, rita","möslein, kathrin m.","keinz, peter","hartmann, rasmus koss","mourad, maha","freeman, stephanie","xu, di","lages, luis filipe","goffin, keith","la cour, anders","nyström, anna greta","xi, yunjiang","gupta, sumeet","takahashi, shingo","reisch, lucia a.","herrmann, andrea m.","darlington, john","moeen, mahka","rao, p. m.","allen, b. j.","cann, andrew b.","li, dahui"
"menozzi, anna","malerba, franco","bogers, marcel","mcdonagh, joe","carignani, giuseppe","feldberg, frans","marchuk, anna","escobar, octavio","garrett, robert p.",,"cong, ling mei",,"hung, chia liang","qian, jinfang","raasch, christina",,"nefedova, alena",,"schneckenberg, dirk","le nagard, emmanuelle","svensson, peter o.","tolba, ahmed h.","johnson, mikael",,,"sakellariou, evy","salomo, søren","rajahonka, mervi","ye, guangyu","ma, jifeng","yoshida, daichi","thøgersen, john",,"striukova, ludmila",,"shin, jongtae",,,
"pera, rebecca",,"west, joel",,,"borner, kathrin","brem, alexander","khvatova, tatiana",,,"zhou, michael",,,,"rigtering, coen",,"thurner, thomas",,"velamuri, vivek k.","vellera, cyrielle",,,"juntunen, jouni k.",,,,,"westerlund, mika","yu, juan",,,,,,,,,,
,,,,,,,"maalaoui, adnane",,,,,,,"spaans, lara",,,,,"vernette, eric",,,"mäkinen, samuli",,,,,,,,,,,,,,,,
,,,,,,,"schiavone, francesco",,,,,,,"wu, chia huei",,,,,,,,"hyysalo, sampsa",,,,,,,,,,,,,,,,
,,,,,,,"villasalero, manuel",,,,,,,,,,,,,,,"usenyuk, svetlana",,,,,,,,,,,,,,,,
,,,,,,,"ghasemzadeh, khatereh",,,,,,,,,,,,,,,"kristensson, per",,,,,,,,,,,,,,,,
,,,,,,,"raïes, karine",,,,,,,,,,,,,,,"trischler, jakob",,,,,,,,,,,,,,,,
,,,,,,,"rivieccio, giorgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
