maroon,green,indigo,yellow,red,magenta,brown,teal,gold,orange,cyan,blue,purple,pink
"afuah, allan","bilgram, volker","bortoluzzi, guido","cai, fangtong","cao, xinyan","dahl, darren w.","della santa, silvia","gong, yu","hakkarainen, louna","hamdi-kidar, linda","hossain, mokter","kankanhalli, atreyi","koch, stefan","liao, xiao"
"bastian, bettina","gutstein, adele","yordanova, zornitsa","qiu, shanshan","fang, xiang","fuchs, christoph","marchi, gianluca","jia, fu","heiskanen, eva","keinz, peter","leminen, seppo","kim, seung hyun","artmayr, philipp","xi, yunjiang"
"bogers, marcel","marchuk, anna","escobar, octavio","zhu, wei","yang, yu","schreier, martin","tagliazucchi, giulia","shi, yangyan","helminen, pia","le nagard, emmanuelle","westerlund, mika","teo, hock hai","bierbamer, michael","ye, guangyu"
"mccarthy, ian p.","brem, alexander","khvatova, tatiana","li, shuqin","chai, ruirui","prandelli, emanuela","giachetti, claudio","zhang, yufang","freeman, stephanie","vellera, cyrielle","nyström, anna greta","ye, hua jonathan","guceri-ucar, gozem","yu, juan"
"pitt, leyland","gladysz, bartosz","maalaoui, adnane","qin, min","liu, wei","janiszewski, chris","de gennaro, pamela","sun, yanhua","johnson, mikael","vernette, eric","rajahonka, mervi","li, mingguo","inanc, duygu","zantow, kenneth"
"west, joel","ernst, markus","schiavone, francesco",,,"nishikawa, hidehiko",,,"juntunen, jouni k.",,"pacauskas, darius","ye, hua",,
,"schulz, stefanie","villasalero, manuel",,,"karpukhina, tatiana",,,"mäkinen, samuli",,"mäntymäki, matti",,,
,,"ghasemzadeh, khatereh",,,"oberhauser, stefan",,,"hyysalo, sampsa",,"rajala, risto",,,
,,"raïes, karine",,,"prügl, reinhard",,,"repo, petteri",,,,,
,,"rivieccio, giorgia",,,"pasquini, martina",,,"timonen, päivi",,,,,
,,,,,"verona, gianmario",,,"usenyuk, svetlana",,,,,
,,,,,,,,"kristensson, per",,,,,
,,,,,,,,"stewart, james",,,,,
,,,,,,,,"trischler, jakob",,,,,
