maroon,teal,olive,orange,green,yellow,red,blue,purple,pink,brown,indigo,cyan,magenta,lime,goldenrod,black,crimson,grey,coral,darkblue,darkgreen,darkred,darkviolet,darkorange,darkmagenta,darkturquoise,dodgerblue,forestgreen,fuchsia,hotpink,indianred,lawngreen,lightblue,lightskyblue,lightgreen,lightpink,lightsalmon,lightseagreen,lightslategray,lightcoral,limegreen,mediumaquamarine,mediumorchid,mediumpurple,mediumslateblue,mediumspringgreen,mediumturquoise,mediumvioletred,midnightblue,mediumseagreen,darkcyan,deeppink,firebrick,gold,greenyellow,khaki,navy,silver,lightsteelblue,mediumblue
"abrate, graziano","adams, pamela","afuah, allan","agostini, lara","ahvari, hooman","altman, elizabeth j.","andriani, pierpaolo","antorini, yun mi","arvanitis, spyros","awazu, yukika","bae, zong tae","berends, hans","bilgram, volker","björk, jennie","blohm, ivo","bortoluzzi, guido","browder, russell e.","buganza, tommaso","cai, fangtong","cao, xinyan","chandra, yanto","chen, xiaohong","chou, jerome chih lung","crocco, edoardo","cui, miao","dahl, darren w.","dahlander, linus","de jong, jeroen p.j.","della santa, silvia","di, paul m.","ford, simon j.","fritzsche, albrecht","fursov, konstantin","gong, yu","hakkarainen, louna","haller, jörg b.a.","hamdi-kidar, linda","hartmann, mia rosa","hassan, salah s.","hopkins, michael m.","hossain, mokter","hu, suya","jeong, yujin","järvilehto, mikko","kankanhalli, atreyi","karantinou, kalipso","koch, stefan","lauritzen, ghita dragsdahl","leidner, dorothy e.","liao, xiao","lin, jie","lu, yaobin","mathies, christine","miyazawa, jun ichi","nielsen, kristian roed","o'hern, matthew","oliveira, pedro","rayna, thierry","shin, hyun","wang, lei","xiao, ting"
"baima, gabriele","fontana, roberto","bastian, bettina","filippini, roberto","ekhlassi, amir","szulanski, gabriel","de toni, alberto felice","jensen, morten berg","fuchs, barbara","ramaprasad, arkalgud","kang, shin hyung","deken, fleur","gutstein, adele","magnusson, mats","bretschneider, ulrich","yordanova, zornitsa","crider, cole j.","dell'era, claudio","qiu, shanshan","fang, xiang","leenders, mark a.a.m.","probert, david","dong, tse ping","culasso, francesca","liu, yan","fuchs, christoph","frederiksen, lars","poldervaart, sabrine","marchi, gianluca","hooker, robert e.","jaeger, manuel","moeslein, kathrin m.","linton, jonathan","jia, fu","heiskanen, eva","möslein, kathrin m.","keinz, peter","hartmann, rasmus koss","mourad, maha","miller, roger","leminen, seppo","wang, alan","lee, keeeun","liukkunen, kari","kim, seung hyun","goffin, keith","artmayr, philipp","la cour, anders","benbya, hind","xi, yunjiang","jiang, xiaoyan","gupta, sumeet","de ruyter, ko","takahashi, shingo","reisch, lucia a.","ye, jun","e cunha, miguel pina","darlington, john","rao, p. m.","chiao, benjamin","wang, xuan"
"menozzi, anna","malerba, franco","bogers, marcel","nosella, anna","mcdonagh, joe","friedmann, jens christian","carignani, giuseppe","muñiz, albert m.","woerter, martin","desouza, kevin c.","kim, joong hyun","feldberg, frans","marchuk, anna","sandström, gunilla ölundh","krcmar, helmut","escobar, octavio","garrett, robert p.","pellizzoni, elena","zhu, wei","yang, yu","cong, ling mei","su, jun","hung, chia liang","giacosa, elisa","qian, jinfang","schreier, martin","piezunka, henning","raasch, christina","tagliazucchi, giulia","wasko, molly m.","mortara, letizia","naik, hari suman","nefedova, alena","shi, yangyan","helminen, pia","schneckenberg, dirk","le nagard, emmanuelle","svensson, peter o.","tolba, ahmed h.","nightingale, paul","westerlund, mika","xu, di","lee, sungjoo","similä, jouni","teo, hock hai","sakellariou, evy","bierbamer, michael","salomo, søren","yan, jie (kevin)","ye, guangyu","wang, chao","ma, jifeng","patterson, paul g.","yoshida, daichi","thøgersen, john","wu, jiajun","veloso, francisco","striukova, ludmila","shin, jongtae","zhou, yahong","yang, cai"
"pera, rebecca",,"mccarthy, ian p.",,,"wu, nety",,"nørskov, sladjana",,,,"borner, kathrin","brem, alexander","wadell, carl","marco, jan leimeister","khvatova, tatiana",,"trabucchi, daniel","li, shuqin","chai, ruirui","zhou, michael","zhou, yuan",,"yahiaoui, dorra",,"prandelli, emanuela",,"rigtering, coen","giachetti, claudio",,,,"thurner, thomas","zhang, yufang","freeman, stephanie","velamuri, vivek k.","vellera, cyrielle",,,"tidd, joe","nyström, anna greta",,"yoon, byungun",,"ye, hua jonathan",,"guceri-ucar, gozem",,,"yu, juan","zhou, lixin",,"piyathasanan, bhuminan",,,,"van der boor, paul",,,,"yang, zhi"
,,"pitt, leyland",,,"von hippel, eric",,,,,,,"gladysz, bartosz",,,"maalaoui, adnane",,,"qin, min","liu, wei",,,,,,"oberhauser, stefan",,"spaans, lara","de gennaro, pamela",,,,,"sun, yanhua","johnson, mikael",,"vernette, eric",,,,"rajahonka, mervi",,,,"li, mingguo",,"inanc, duygu",,,"zantow, kenneth",,,,,,,,,,,
,,"west, joel",,,,,,,,,,"ernst, markus",,,"schiavone, francesco",,,,,,,,,,"prügl, reinhard",,"janzik, lars",,,,,,,"juntunen, jouni k.",,,,,,"pacauskas, darius",,,,"ye, hua",,,,,,,,,,,,,,,,
,,,,,,,,,,,,"schulz, stefanie",,,"villasalero, manuel",,,,,,,,,,"pasquini, martina",,"wu, chia huei",,,,,,,"mäkinen, samuli",,,,,,"mäntymäki, matti",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"ghasemzadeh, khatereh",,,,,,,,,,"verona, gianmario",,,,,,,,,"hyysalo, sampsa",,,,,,"rajala, risto",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"raïes, karine",,,,,,,,,,,,,,,,,,,"repo, petteri",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"rivieccio, giorgia",,,,,,,,,,,,,,,,,,,"timonen, päivi",,,,,,,,,,,,,,,,,,,,,,,,,,
