maroon,teal,lime,orange,green,yellow,red,blue,purple,pink,brown,indigo,cyan,magenta,khaki,silver,black,crimson,grey,coral,darkblue,darkgreen,darkred,darkviolet,darkorange,darkcyan,darkmagenta,darkturquoise,dodgerblue,firebrick,goldenrod,greenyellow,hotpink,lawngreen,lightblue,lightgreen,lightpink,lightsalmon,lightseagreen,lightskyblue,mediumpurple,lightsteelblue,limegreen,mediumaquamarine,mediumblue,mediumorchid,mediumseagreen,mediumslateblue,mediumspringgreen,mediumturquoise,mediumvioletred,midnightblue,olivedrab,orangered,orchid,palegoldenrod,palegreen,paleturquoise,palevioletred,papayawhip,peachpuff,peru,plum,powderblue,rosybrown,royalblue,saddlebrown,salmon,sandybrown,sienna,skyblue,slateblue,slategray,springgreen,fuchsia,indianred,lightcoral,olive,navy,lightslategray,seagreen,navajowhite,mistyrose,deeppink,forestgreen,gold
"abrate, graziano","adams, pamela","afuah, allan","ahvari, hooman","altman, elizabeth j.","andriani, pierpaolo","antorini, yun mi","arvanitis, spyros","awazu, yukika","bae, zong tae","berends, hans","bilgram, volker","björk, jennie","blohm, ivo","bortoluzzi, guido","browder, russell e.","buganza, tommaso","bäckström, izabelle","cao, xinyan","casadesus-masanell, ramon","chan, tian heong","chandra, yanto","chatterji, aaron k.","chen, xiaohong","chou, jerome chih lung","crocco, edoardo","cui, miao","dahl, darren w.","dahlander, linus","de jong, jeroen p.j.","della santa, silvia","di gangi, paul m.","di, paul m.","faulkner, philip","fritzsche, albrecht","fursov, konstantin","globocnik, dietfried","gobble, maryanne m.","goduscheit, rené chester","gong, yu","hakkarainen, louna","haller, jörg b.a.","hamdi-kidar, linda","harrison, debbie","hartmann, mia rosa","hassan, salah s.","hicks, christian","hopkins, michael m.","hossain, mokter","hu, suya","hu, yansong","jahanmir, sara f.","kankanhalli, atreyi","karantinou, kalipso","kim, jieun","koch, stefan","lambert, simon j.","lauritzen, ghita dragsdahl","leidner, dorothy e.","liang, hua","liao, xiao","lin, jie","lu, yaobin","mendonça, joana","miyazawa, jun ichi","mukherjee, satyam","nielsen, kristian roed","o'hern, matthew","oliveira, pedro","peine, alexander","rauch, madeleine","rayna, thierry","roy, raja","rubalcaba, luis","schaarschmidt, mario","scheid, françois","schmidt-keilich, marc","schulz, michael","shermon, anavir","shin, hyun","smith, sheryl winston","stanko, michael a.","von hippel, christiana d.","wang, lei","wang, yonggui","xiao, ting"
"baima, gabriele","fontana, roberto","bastian, bettina","ekhlassi, amir","szulanski, gabriel","de toni, alberto felice","jensen, morten berg","fuchs, barbara","ramaprasad, arkalgud","kang, shin hyung","deken, fleur","gutstein, adele","magnusson, mats","bretschneider, ulrich","yordanova, zornitsa","crider, cole j.","dell'era, claudio","bengtsson, lars","fang, xiang","llanes, gastón","lim, shi ying","leenders, mark a.a.m.","fabrizio, kira","probert, david","dong, tse ping","culasso, francesca","liu, yan","fuchs, christoph","frederiksen, lars","poldervaart, sabrine","marchi, gianluca","wasko, molly","hooker, robert e.","runde, jochen","moeslein, kathrin m.","linton, jonathan","faullant, rita","euchner, jim","jørgensen, jacob høj","jia, fu","heiskanen, eva","möslein, kathrin m.","keinz, peter","waluszewski, alexandra","hartmann, rasmus koss","mourad, maha","pachamanova, dessislava","miller, roger","leminen, seppo","wang, alan","mcloughlin, damien","lages, luis filipe","kim, seung hyun","goffin, keith","park, yongtae","artmayr, philipp","krivokapic-skoko, branka","la cour, anders","benbya, hind","zhang, zongyi","xi, yunjiang","jiang, xiaoyan","gupta, sumeet","reis, anabela","takahashi, shingo","jain, tarun","reisch, lucia a.","ye, jun","e cunha, miguel pina","herrmann, andrea m.","ansari, shahzad","darlington, john","cohen, susan k.","deschryvere, matthias","kilian, thomas","charue-duboc, florence","schrader, ulf","völckner, franziska","moeen, mahka","rao, p. m.","shah, sonali k.","allen, b. j.","cann, andrew b.","chiao, benjamin","li, dahui","wang, xuan"
"menozzi, anna","malerba, franco","bogers, marcel","mcdonagh, joe","friedmann, jens christian","carignani, giuseppe","nørskov, sladjana","woerter, martin","desouza, kevin c.","kim, joong hyun","feldberg, frans","marchuk, anna","sandström, gunilla ölundh","krcmar, helmut","escobar, octavio","garrett, robert p.","pellizzoni, elena",,"yang, yu",,,"cong, ling mei",,"su, jun","hung, chia liang","giacosa, elisa","qian, jinfang","schreier, martin","piezunka, henning","raasch, christina","tagliazucchi, giulia",,"wasko, molly m.",,"naik, hari suman","nefedova, alena",,,,"shi, yangyan","helminen, pia","schneckenberg, dirk","le nagard, emmanuelle",,"svensson, peter o.","tolba, ahmed h.",,"nightingale, paul","westerlund, mika","xu, di",,,"teo, hock hai","sakellariou, evy",,"bierbamer, michael",,"salomo, søren","yan, jie (kevin)",,"ye, guangyu","wang, chao","ma, jifeng",,"yoshida, daichi",,"thøgersen, john","wu, jiajun","veloso, francisco",,,"striukova, ludmila",,,,,,,,"shin, jongtae",,,,"zhou, yahong",,"yang, cai"
"pera, rebecca",,"mccarthy, ian p.",,"wu, nety",,,,,,"borner, kathrin","brem, alexander","wadell, carl","marco, jan leimeister","khvatova, tatiana",,"trabucchi, daniel",,"chai, ruirui",,,"zhou, michael",,"zhou, yuan",,"yahiaoui, dorra",,"prandelli, emanuela",,"rigtering, coen","giachetti, claudio",,,,,"thurner, thomas",,,,"zhang, yufang","freeman, stephanie","velamuri, vivek k.","vellera, cyrielle",,,,,"tidd, joe","nyström, anna greta",,,,"ye, hua jonathan",,,"guceri-ucar, gozem",,,,,"yu, juan","zhou, lixin",,,,,,,"van der boor, paul",,,,,,,,,,,,,,,,,"yang, zhi"
,,"pitt, leyland",,"von hippel, eric",,,,,,,"gladysz, bartosz",,,"maalaoui, adnane",,,,"liu, wei",,,,,,,,,"oberhauser, stefan",,"spaans, lara","de gennaro, pamela",,,,,,,,,"sun, yanhua","johnson, mikael",,"vernette, eric",,,,,,"rajahonka, mervi",,,,"li, mingguo",,,"inanc, duygu",,,,,"zantow, kenneth",,,,,,,,,,,,,,,,,,,,,,,,,
,,"west, joel",,,,,,,,,"ernst, markus",,,"schiavone, francesco",,,,,,,,,,,,,"prügl, reinhard",,"janzik, lars",,,,,,,,,,,"juntunen, jouni k.",,,,,,,,"pacauskas, darius",,,,"ye, hua",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"schulz, stefanie",,,"villasalero, manuel",,,,,,,,,,,,,"pasquini, martina",,"wu, chia huei",,,,,,,,,,,"mäkinen, samuli",,,,,,,,"mäntymäki, matti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ghasemzadeh, khatereh",,,,,,,,,,,,,"verona, gianmario",,,,,,,,,,,,,"hyysalo, sampsa",,,,,,,,"rajala, risto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"raïes, karine",,,,,,,,,,,,,,,,,,,,,,,,,,"repo, petteri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"rivieccio, giorgia",,,,,,,,,,,,,,,,,,,,,,,,,,"timonen, päivi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
