maroon,teal,gold,orange,green,yellow,red,blue,purple,pink,brown,indigo,cyan,lime,olive,navy,silver,black,crimson,grey,coral,darkblue,darkgreen,darkred,darkviolet,darkorange,darkcyan,darkmagenta,darkturquoise,deeppink,forestgreen,fuchsia,goldenrod,greenyellow,hotpink,indianred,khaki,lawngreen,lightblue,lightcoral,lightgreen,lightsalmon,lightseagreen,lightskyblue,lightslategray,lightsteelblue,limegreen,mediumaquamarine,mediumpurple,mediumseagreen,mediumslateblue,mediumspringgreen,mediumturquoise,mediumvioletred,midnightblue,mistyrose,navajowhite,olivedrab,orangered,orchid,palegoldenrod,palegreen,palevioletred,peru,plum,powderblue,rosybrown,royalblue,saddlebrown,firebrick,paleturquoise,papayawhip,peachpuff,lightpink,magenta,mediumblue,mediumorchid,dodgerblue
"abrate, graziano","adams, pamela","ahvari, hooman","andriani, pierpaolo","antorini, yun mi","arvanitis, spyros","awazu, yukika","bae, zong tae","bapna, sofia","berends, hans","björk, jennie","blohm, ivo","bogers, marcel","brem, alexander","browder, russell e.","buganza, tommaso","cao, xinyan","casadesus-masanell, ramon","chan, tian heong","chandra, yanto","chatterji, aaron k.","chen, xiaohong","chou, jerome chih lung","crocco, edoardo","cui, miao","dahl, darren w.","dahlander, linus","della santa, silvia","di gangi, paul m.","di, paul m.","escobar, octavio","faulkner, philip","fursov, konstantin","gegenhuber, thomas","globocnik, dietfried","gobble, maryanne m.","goduscheit, rené chester","gong, yu","hakkarainen, louna","haller, jörg b.a.","hamdi-kidar, linda","hicks, christian","hopkins, michael m.","hossain, mokter","hu, suya","hu, yansong","jahanmir, sara f.","janzik, lars","kankanhalli, atreyi","karantinou, kalipso","kim, jieun","koch, stefan","lambert, simon j.","lauritzen, ghita dragsdahl","leidner, dorothy e.","liang, hua","liao, xiao","lin, jie","lu, yaobin","miyazawa, jun ichi","mukherjee, satyam","o'hern, matthew","oliveira, pedro","rauch, madeleine","rayna, thierry","roy, raja","rubalcaba, luis","schaarschmidt, mario","scheid, françois","schmidt-keilich, marc","schulz, michael","shermon, anavir","shin, hyun","smith, sheryl winston","stanko, michael a.","von hippel, christiana d.","wang, lei","xiao, ting"
"baima, gabriele","fontana, roberto","ekhlassi, amir","de toni, alberto felice","jensen, morten berg","fuchs, barbara","ramaprasad, arkalgud","kang, shin hyung","ganco, martin","deken, fleur","magnusson, mats","bretschneider, ulrich","mccarthy, ian p.","bilgram, volker","crider, cole j.","dell'era, claudio","fang, xiang","llanes, gastón","lim, shi ying","leenders, mark a.a.m.","fabrizio, kira","probert, david","dong, tse ping","culasso, francesca","liu, yan","fuchs, christoph","frederiksen, lars","marchi, gianluca","wasko, molly","hooker, robert e.","khvatova, tatiana","runde, jochen","nefedova, alena","mair, johanna","faullant, rita","euchner, jim","jørgensen, jacob høj","jia, fu","heiskanen, eva","möslein, kathrin m.","keinz, peter","pachamanova, dessislava","miller, roger","leminen, seppo","wang, alan","mcloughlin, damien","lages, luis filipe","raasch, christina","kim, seung hyun","goffin, keith","park, yongtae","artmayr, philipp","krivokapic-skoko, branka","la cour, anders","benbya, hind","zhang, zongyi","xi, yunjiang","jiang, xiaoyan","gupta, sumeet","takahashi, shingo","jain, tarun","ye, jun","e cunha, miguel pina","ansari, shahzad","darlington, john","cohen, susan k.","deschryvere, matthias","kilian, thomas","charue-duboc, florence","schrader, ulf","völckner, franziska","moeen, mahka","rao, p. m.","shah, sonali k.","allen, b. j.","cann, andrew b.","chiao, benjamin","wang, xuan"
"menozzi, anna","malerba, franco","mcdonagh, joe","carignani, giuseppe","nørskov, sladjana","woerter, martin","desouza, kevin c.","kim, joong hyun",,"feldberg, frans","sandström, gunilla ölundh","krcmar, helmut","pitt, leyland","gladysz, bartosz","garrett, robert p.","pellizzoni, elena","yang, yu",,,"cong, ling mei",,"su, jun","hung, chia liang","giacosa, elisa","qian, jinfang","schreier, martin",,"tagliazucchi, giulia",,"wasko, molly m.","maalaoui, adnane",,"thurner, thomas",,,,,"shi, yangyan","helminen, pia","schneckenberg, dirk","le nagard, emmanuelle",,"nightingale, paul","westerlund, mika","xu, di",,,,"teo, hock hai","sakellariou, evy",,"inanc, duygu",,"salomo, søren","yan, jie (kevin)",,"ye, guangyu","wang, chao","ma, jifeng","yoshida, daichi",,"wu, jiajun",,,"striukova, ludmila",,,,,,,,"shin, jongtae",,,,"zhou, yahong","yang, cai"
"pera, rebecca",,,,,,,,,"borner, kathrin","wadell, carl","marco, jan leimeister",,"ernst, markus",,"trabucchi, daniel","chai, ruirui",,,"zhou, michael",,"zhou, yuan",,"yahiaoui, dorra",,"prandelli, emanuela",,,,,"schiavone, francesco",,,,,,,"zhang, yufang","freeman, stephanie","velamuri, vivek k.","vellera, cyrielle",,"tidd, joe","nyström, anna greta",,,,,"ye, hua jonathan",,,,,,,,"yu, juan","zhou, lixin",,,,,,,,,,,,,,,,,,,,"yang, zhi"
,,,,,,,,,,,,,"gutstein, adele",,,"liu, wei",,,,,,,,,"oberhauser, stefan",,,,,"villasalero, manuel",,,,,,,"sun, yanhua","johnson, mikael",,"vernette, eric",,,"rajahonka, mervi",,,,,"li, mingguo",,,,,,,,"zantow, kenneth",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"schulz, stefanie",,,,,,,,,,,,"prügl, reinhard",,,,,"yordanova, zornitsa",,,,,,,,"juntunen, jouni k.",,,,,"pacauskas, darius",,,,,"ye, hua",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"pasquini, martina",,,,,"ghasemzadeh, khatereh",,,,,,,,"mäkinen, samuli",,,,,"mäntymäki, matti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"verona, gianmario",,,,,"raïes, karine",,,,,,,,"hyysalo, sampsa",,,,,"rajala, risto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rivieccio, giorgia",,,,,,,,"repo, petteri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"timonen, päivi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"usenyuk, svetlana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kristensson, per",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"stewart, james",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"trischler, jakob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
