maroon,teal,gold,orange,green,yellow,blue,purple,black,brown,indigo,cyan,magenta,lime,olive,silver,crimson,grey,coral,darkblue,darkred,darkviolet,darkorange,darkcyan,darkmagenta,deeppink,dodgerblue,firebrick,forestgreen,fuchsia,goldenrod,greenyellow,hotpink,indianred,red,pink,navy,darkgreen,darkturquoise
"abrate, graziano","adams, pamela","afuah, allan","ahvari, hooman","andriani, pierpaolo","baldwin, carliss","berends, hans","bilgram, volker","bortoluzzi, guido","browder, russell e.","bäckström, izabelle","chandra, yanto","chatterji, aaron k.","chou, jerome chih lung","cui, miao","de jong, jeroen p.j.","faulkner, philip","fursov, konstantin","globocnik, dietfried","haller, jörg b.a.","hartmann, mia rosa","hassan, salah s.","helminen, pia","hu, suya","jahanmir, sara f.","karantinou, kalipso","lauritzen, ghita dragsdahl","leminen, seppo","liao, xiao","lu, yaobin","miyazawa, jun ichi","nielsen, kristian roed","peine, alexander","rayna, thierry","shermon, anavir","shin, hyun","stanko, michael a.","von hippel, christiana d.","wang, yonggui"
"baima, gabriele","fontana, roberto","bastian, bettina","ekhlassi, amir","de toni, alberto felice","hienerth, christoph","deken, fleur","gutstein, adele","yordanova, zornitsa","crider, cole j.","bengtsson, lars","leenders, mark a.a.m.","fabrizio, kira","dong, tse ping","liu, yan","poldervaart, sabrine","runde, jochen","linton, jonathan","faullant, rita","möslein, kathrin m.","hartmann, rasmus koss","mourad, maha","freeman, stephanie","xu, di","lages, luis filipe","goffin, keith","la cour, anders","nyström, anna greta","xi, yunjiang","gupta, sumeet","takahashi, shingo","reisch, lucia a.","herrmann, andrea m.","darlington, john","moeen, mahka","rao, p. m.","allen, b. j.","cann, andrew b.","li, dahui"
"menozzi, anna","malerba, franco","bogers, marcel","mcdonagh, joe","carignani, giuseppe","von hippel, eric","feldberg, frans","marchuk, anna","escobar, octavio","garrett, robert p.",,"cong, ling mei",,"hung, chia liang","qian, jinfang","raasch, christina",,"nefedova, alena",,"schneckenberg, dirk","svensson, peter o.","tolba, ahmed h.","johnson, mikael",,,"sakellariou, evy","salomo, søren","rajahonka, mervi","ye, guangyu","ma, jifeng","yoshida, daichi","thøgersen, john",,"striukova, ludmila",,"shin, jongtae",,,
"pera, rebecca",,"west, joel",,,"gemünden, hans georg","borner, kathrin","brem, alexander","khvatova, tatiana",,,"zhou, michael",,,,"rigtering, coen",,"thurner, thomas",,"velamuri, vivek k.",,,"juntunen, jouni k.",,,,,"westerlund, mika","yu, juan",,,,,,,,,,
,,,,,"killen, catherine p.",,,"maalaoui, adnane",,,,,,,"spaans, lara",,,,,,,"mäkinen, samuli",,,,,,,,,,,,,,,,
,,,,,"sicotte, hélène",,,"schiavone, francesco",,,,,,,"wu, chia huei",,,,,,,"hyysalo, sampsa",,,,,,,,,,,,,,,,
,,,,,"hamdi-kidar, linda",,,"villasalero, manuel",,,,,,,,,,,,,,"usenyuk, svetlana",,,,,,,,,,,,,,,,
,,,,,"keinz, peter",,,"ghasemzadeh, khatereh",,,,,,,,,,,,,,"kristensson, per",,,,,,,,,,,,,,,,
,,,,,"le nagard, emmanuelle",,,"raïes, karine",,,,,,,,,,,,,,"trischler, jakob",,,,,,,,,,,,,,,,
,,,,,"vellera, cyrielle",,,"rivieccio, giorgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"vernette, eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"berg jensen, morten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"lettl, christopher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
