maroon,teal,gold,orange,yellow,red,blue,purple,pink,brown,indigo,cyan,magenta,lime,olive,navy,silver,green
"afuah, allan","altman, elizabeth j.","amft, andré","baldwin, carliss","balka, kerstin","bilgram, volker","bortoluzzi, guido","cai, fangtong","cao, xinyan","dahl, darren w.","della santa, silvia","füller, johann","gong, yu","hakkarainen, louna","hossain, mokter","kankanhalli, atreyi","koch, stefan","liao, xiao"
"bastian, bettina","szulanski, gabriel","diener, kathleen","hienerth, christoph","herstatt, cornelius","gutstein, adele","yordanova, zornitsa","qiu, shanshan","fang, xiang","fuchs, christoph","marchi, gianluca","jawecki, gregor","jia, fu","heiskanen, eva","leminen, seppo","kim, seung hyun","artmayr, philipp","xi, yunjiang"
"bogers, marcel","von hippel, eric","lüttgens, dirk","bradonjic, philip","raasch, christina","marchuk, anna","escobar, octavio","zhu, wei","yang, yu","schreier, martin","tagliazucchi, giulia","matzler, kurt","shi, yangyan","helminen, pia","westerlund, mika","teo, hock hai","bierbamer, michael","ye, guangyu"
"mccarthy, ian p.","chen, jin","piller, frank t.","franke, nikolaus","block, jörn h.","brem, alexander","khvatova, tatiana","li, shuqin","chai, ruirui","prandelli, emanuela","giachetti, claudio","mühlbacher, hans","zhang, yufang","freeman, stephanie","nyström, anna greta","ye, hua jonathan","guceri-ucar, gozem","yu, juan"
"pitt, leyland","de jong, jeroen p.j.","ihl, christoph","keinz, peter","henkel, joachim","gladysz, bartosz","maalaoui, adnane","qin, min","liu, wei","janiszewski, chris","de gennaro, pamela","schroll, roland","sun, yanhua","johnson, mikael","rajahonka, mervi","li, mingguo","inanc, duygu","zantow, kenneth"
"west, joel","su, yu shan","vossen, alexander","klausberger, katharina","schweisfurth, tim g.","ernst, markus","schiavone, francesco",,,"nishikawa, hidehiko",,"oliveira, pedro",,"juntunen, jouni k.","pacauskas, darius","ye, hua",,
"felin, teppo","flowers, stephen","kleer, robin","reinsberger, kathrin","stiegler, annika","schulz, stefanie","villasalero, manuel",,,"karpukhina, tatiana",,"e cunha, miguel pina",,"mäkinen, samuli","mäntymäki, matti",,,
"lakhani, karim r.","gault, fred","pollok, patrick","schirg, florian","lüthje, christian",,"ghasemzadeh, khatereh",,,"ogawa, susumu",,"veloso, francisco",,"hyysalo, sampsa","rajala, risto",,,
"tushman, michael l.","gillert, nils lennart",,"gemünden, hans georg","poldervaart, sabrine",,"raïes, karine",,,"oberhauser, stefan",,"van der boor, paul",,"repo, petteri",,,,
,"kuusisto, jari",,"killen, catherine p.","ebbing, tobias",,"rivieccio, giorgia",,,"prügl, reinhard",,,,"timonen, päivi",,,,
,"rigtering, coen",,"sicotte, hélène","gambardella, alfonso",,,,,"pongtanalert, kritinee",,,,"usenyuk, svetlana",,,,
,"spaans, lara",,"hamdi-kidar, linda","goduscheit, rené chester",,,,,"pasquini, martina",,,,"kristensson, per",,,,
,"stock, ruth maria",,"le nagard, emmanuelle","jørgensen, jacob høj",,,,,"verona, gianmario",,,,"stewart, james",,,,
,"friedmann, jens christian",,"vellera, cyrielle","lock, phillip",,,,,,,,,"trischler, jakob",,,,
,"wu, nety",,"vernette, eric","hinsch, mareike e.",,,,,,,,,,,,,
,"gobble, maryanne m.",,"berg jensen, morten","stockstrom, christoph s.",,,,,,,,,,,,,
,"euchner, jim",,"lettl, christopher","janzik, lars",,,,,,,,,,,,,
,"kuusisto, arja",,,"lehnen, jens",,,,,,,,,,,,,
,"yli-viitala, pirjo",,,"schmidt, tobias sebastian",,,,,,,,,,,,,
,"mulhuijzen, max",,,"morrison, pamela d.",,,,,,,,,,,,,
,"katz, ralph",,,"roberts, john h.",,,,,,,,,,,,,
,"kaulartz, sandro",,,"pieper, thorsten",,,,,,,,,,,,,
,"paradiso, joseph a.",,,"preißner, stephanie",,,,,,,,,,,,,
,,,,"skiba, florian",,,,,,,,,,,,,
,,,,"tietz, robert",,,,,,,,,,,,,
,,,,"tietze, frank",,,,,,,,,,,,,
,,,,"wellner, konstantin",,,,,,,,,,,,,
,,,,"wu, chia huei",,,,,,,,,,,,,
,,,,"zaggl, michael a.",,,,,,,,,,,,,
