maroon,green,purple,orange,yellow,red,blue,pink,brown,indigo,cyan,magenta,lime,olive,navy,silver,teal,gold
"afuah, allan","altman, elizabeth j.","amft, andré","baldwin, carliss","herstatt, cornelius","bilgram, volker","bortoluzzi, guido","cai, fangtong","cao, xinyan","dahl, darren w.","della santa, silvia","füller, johann","gong, yu","hakkarainen, louna","hossain, mokter","kankanhalli, atreyi","koch, stefan","liao, xiao"
"bastian, bettina","szulanski, gabriel","diener, kathleen","hienerth, christoph","lüthje, christian","gutstein, adele","yordanova, zornitsa","qiu, shanshan","fang, xiang","fuchs, christoph","marchi, gianluca","jawecki, gregor","jia, fu","heiskanen, eva","leminen, seppo","kim, seung hyun","artmayr, philipp","xi, yunjiang"
"bogers, marcel","von hippel, eric","lüttgens, dirk","bradonjic, philip","ebbing, tobias","marchuk, anna","escobar, octavio","zhu, wei","yang, yu","schreier, martin","tagliazucchi, giulia","matzler, kurt","shi, yangyan","helminen, pia","westerlund, mika","teo, hock hai","bierbamer, michael","ye, guangyu"
"mccarthy, ian p.","balka, kerstin","piller, frank t.","franke, nikolaus","goduscheit, rené chester","brem, alexander","khvatova, tatiana","li, shuqin","chai, ruirui","prandelli, emanuela","giachetti, claudio","mühlbacher, hans","zhang, yufang","freeman, stephanie","nyström, anna greta","ye, hua jonathan","guceri-ucar, gozem","yu, juan"
"pitt, leyland","raasch, christina","ihl, christoph","keinz, peter","jørgensen, jacob høj","gladysz, bartosz","maalaoui, adnane","qin, min","liu, wei","janiszewski, chris","de gennaro, pamela","schroll, roland","sun, yanhua","johnson, mikael","rajahonka, mervi","li, mingguo","inanc, duygu","zantow, kenneth"
"west, joel","block, jörn h.","vossen, alexander","klausberger, katharina","hinsch, mareike e.","ernst, markus","schiavone, francesco",,,"nishikawa, hidehiko",,"oliveira, pedro",,"juntunen, jouni k.","pacauskas, darius","ye, hua",,
"felin, teppo","henkel, joachim","kleer, robin","reinsberger, kathrin","stockstrom, christoph s.","schulz, stefanie","villasalero, manuel",,,"karpukhina, tatiana",,"e cunha, miguel pina",,"mäkinen, samuli","mäntymäki, matti",,,
"lakhani, karim r.","schweisfurth, tim g.","pollok, patrick","schirg, florian","lehnen, jens",,"ghasemzadeh, khatereh",,,"ogawa, susumu",,"veloso, francisco",,"hyysalo, sampsa","rajala, risto",,,
"tushman, michael l.","stiegler, annika",,"gemünden, hans georg","schmidt, tobias sebastian",,"raïes, karine",,,"oberhauser, stefan",,"van der boor, paul",,"repo, petteri",,,,
,"chen, jin",,"killen, catherine p.","morrison, pamela d.",,"rivieccio, giorgia",,,"prügl, reinhard",,,,"timonen, päivi",,,,
,"de jong, jeroen p.j.",,"sicotte, hélène","roberts, john h.",,,,,"pongtanalert, kritinee",,,,"usenyuk, svetlana",,,,
,"su, yu shan",,"hamdi-kidar, linda","pieper, thorsten",,,,,"pasquini, martina",,,,"kristensson, per",,,,
,"flowers, stephen",,"le nagard, emmanuelle","skiba, florian",,,,,"verona, gianmario",,,,"stewart, james",,,,
,"gault, fred",,"vellera, cyrielle","tietz, robert",,,,,,,,,"trischler, jakob",,,,
,"gillert, nils lennart",,"vernette, eric","tietze, frank",,,,,,,,,,,,,
,"kuusisto, jari",,"berg jensen, morten","wellner, konstantin",,,,,,,,,,,,,
,"poldervaart, sabrine",,"lettl, christopher","zaggl, michael a.",,,,,,,,,,,,,
,"rigtering, coen",,,,,,,,,,,,,,,,
,"spaans, lara",,,,,,,,,,,,,,,,
,"stock, ruth maria",,,,,,,,,,,,,,,,
,"friedmann, jens christian",,,,,,,,,,,,,,,,
,"wu, nety",,,,,,,,,,,,,,,,
,"gambardella, alfonso",,,,,,,,,,,,,,,,
,"gobble, maryanne m.",,,,,,,,,,,,,,,,
,"euchner, jim",,,,,,,,,,,,,,,,
,"lock, phillip",,,,,,,,,,,,,,,,
,"janzik, lars",,,,,,,,,,,,,,,,
,"kuusisto, arja",,,,,,,,,,,,,,,,
,"yli-viitala, pirjo",,,,,,,,,,,,,,,,
,"mulhuijzen, max",,,,,,,,,,,,,,,,
,"preißner, stephanie",,,,,,,,,,,,,,,,
,"katz, ralph",,,,,,,,,,,,,,,,
,"kaulartz, sandro",,,,,,,,,,,,,,,,
,"paradiso, joseph a.",,,,,,,,,,,,,,,,
,"wu, chia huei",,,,,,,,,,,,,,,,
