maroon,green,gold,orange,red,lime,indigo,olive,navy,silver,brown,cyan,magenta,black,pink,teal,yellow,blue,purple
"afuah, allan","altman, elizabeth j.","amft, andré","baldwin, carliss*","herstatt, cornelius*","bilgram, volker","bortoluzzi, guido","cai, fangtong","cao, xinyan","dahl, darren w.","della santa, silvia","füller, johann*","gong, yu","hakkarainen, louna","hossain, mokter","kankanhalli, atreyi","koch, stefan","liao, xiao","oliveira, pedro"
"bastian, bettina","szulanski, gabriel","diener, kathleen","hienerth, christoph*","block, jörn h.","gutstein, adele","yordanova, zornitsa","qiu, shanshan","fang, xiang","fuchs, christoph","marchi, gianluca","jawecki, gregor","jia, fu","heiskanen, eva","leminen, seppo","kim, seung hyun","artmayr, philipp","xi, yunjiang","e cunha, miguel pina"
"bogers, marcel","von hippel, eric*","lüttgens, dirk","bradonjic, philip","henkel, joachim*","marchuk, anna","escobar, octavio","zhu, wei","yang, yu","schreier, martin","tagliazucchi, giulia","matzler, kurt","shi, yangyan","helminen, pia","westerlund, mika","teo, hock hai","bierbamer, michael","ye, guangyu","veloso, francisco"
"mccarthy, ian p.","balka, kerstin","piller, frank t.*","franke, nikolaus*","schweisfurth, tim g.","brem, alexander","khvatova, tatiana","li, shuqin","chai, ruirui","prandelli, emanuela","giachetti, claudio","mühlbacher, hans","zhang, yufang","freeman, stephanie","nyström, anna greta","ye, hua jonathan","guceri-ucar, gozem","yu, juan","van der boor, paul"
"pitt, leyland","raasch, christina*","ihl, christoph","keinz, peter","stiegler, annika","gladysz, bartosz","maalaoui, adnane","qin, min","liu, wei","janiszewski, chris","de gennaro, pamela","schroll, roland","sun, yanhua","johnson, mikael","rajahonka, mervi","li, mingguo","inanc, duygu","zantow, kenneth",
"west, joel","chen, jin","vossen, alexander","klausberger, katharina","lüthje, christian*","ernst, markus","schiavone, francesco",,,"nishikawa, hidehiko",,,,"juntunen, jouni k.","pacauskas, darius","ye, hua",,,
"felin, teppo","de jong, jeroen p.j.*","kleer, robin","reinsberger, kathrin","ebbing, tobias","schulz, stefanie","villasalero, manuel",,,"karpukhina, tatiana",,,,"mäkinen, samuli","mäntymäki, matti",,,,
"lakhani, karim r.*","su, yu shan","pollok, patrick","schirg, florian","goduscheit, rené chester",,"ghasemzadeh, khatereh",,,"ogawa, susumu*",,,,"hyysalo, sampsa","rajala, risto",,,,
"tushman, michael l.","flowers, stephen",,"gemünden, hans georg","jørgensen, jacob høj",,"raïes, karine",,,"oberhauser, stefan",,,,"repo, petteri",,,,,
,"gault, fred*",,"killen, catherine p.","von hippel, eric",,"rivieccio, giorgia",,,"prügl, reinhard",,,,"timonen, päivi",,,,,
,"gillert, nils lennart",,"sicotte, hélène","hinsch, mareike e.",,,,,"pongtanalert, kritinee",,,,"usenyuk, svetlana",,,,,
,"kuusisto, jari*",,"hamdi-kidar, linda","stockstrom, christoph s.",,,,,"pasquini, martina",,,,"kristensson, per",,,,,
,"mulhuijzen, max",,"le nagard, emmanuelle","lehnen, jens",,,,,"verona, gianmario",,,,"stewart, james",,,,,
,"poldervaart, sabrine",,"vellera, cyrielle","schmidt, tobias sebastian",,,,,,,,,"trischler, jakob",,,,,
,"rigtering, coen",,"vernette, eric","morrison, pamela d.",,,,,,,,,,,,,,
,"schemmann, brita",,"berg jensen, morten","roberts, john h.",,,,,,,,,,,,,,
,"spaans, lara",,"lettl, christopher*","pieper, thorsten",,,,,,,,,,,,,,
,"stock, ruth maria*",,,"skiba, florian",,,,,,,,,,,,,,
,"friedmann, jens christian",,,"tietz, robert",,,,,,,,,,,,,,
,"wu, nety",,,"tietze, frank",,,,,,,,,,,,,,
,"gambardella, alfonso",,,"wellner, konstantin",,,,,,,,,,,,,,
,"gobble, maryanne m.",,,"zaggl, michael a.",,,,,,,,,,,,,,
,"euchner, jim",,,,,,,,,,,,,,,,,
,"lock, phillip",,,,,,,,,,,,,,,,,
,"kuusisto, arja",,,,,,,,,,,,,,,,,
,"yli-viitala, pirjo",,,,,,,,,,,,,,,,,
,"preißner, stephanie",,,,,,,,,,,,,,,,,
,"katz, ralph",,,,,,,,,,,,,,,,,
,"kaulartz, sandro",,,,,,,,,,,,,,,,,
,"paradiso, joseph a.",,,,,,,,,,,,,,,,,
,"wu, chia huei",,,,,,,,,,,,,,,,,
,"yu, xin",,,,,,,,,,,,,,,,,
