pink,green,maroon,silver,purple,lime,brown,yellow,olive,navy,black,cyan,indigo,magenta,crimson,blue,teal,gold,orange,red
"afuah, allan","altman, elizabeth j.","amft, andré","baldwin, carliss*","balka, kerstin","bilgram, volker","bortoluzzi, guido","bradonjic, philip","cai, fangtong","cao, xinyan","dahl, darren w.","della santa, silvia","füller, johann*","gong, yu","hakkarainen, louna","hossain, mokter","kankanhalli, atreyi","koch, stefan","liao, xiao","oliveira, pedro"
"bastian, bettina","szulanski, gabriel","diener, kathleen","hienerth, christoph*","herstatt, cornelius*","gutstein, adele","yordanova, zornitsa","franke, nikolaus*","qiu, shanshan","fang, xiang","fuchs, christoph","marchi, gianluca","jawecki, gregor","jia, fu","heiskanen, eva","leminen, seppo","kim, seung hyun","artmayr, philipp","xi, yunjiang","e cunha, miguel pina"
"bogers, marcel","von hippel, eric*","lüttgens, dirk","keinz, peter","block, jörn h.","marchuk, anna","escobar, octavio","lüthje, christian*","zhu, wei","yang, yu","schreier, martin","tagliazucchi, giulia","matzler, kurt","shi, yangyan","helminen, pia","westerlund, mika","teo, hock hai","bierbamer, michael","ye, guangyu","veloso, francisco"
"mccarthy, ian p.","raasch, christina*","piller, frank t.*","gemünden, hans georg","henkel, joachim*","brem, alexander","khvatova, tatiana","ebbing, tobias","li, shuqin","chai, ruirui","prandelli, emanuela","giachetti, claudio","mühlbacher, hans","zhang, yufang","freeman, stephanie","nyström, anna greta","ye, hua jonathan","guceri-ucar, gozem","yu, juan","van der boor, paul"
"pitt, leyland","chen, jin","ihl, christoph","killen, catherine p.","schweisfurth, tim g.","gladysz, bartosz","maalaoui, adnane","klausberger, katharina","qin, min","liu, wei","janiszewski, chris","de gennaro, pamela","schroll, roland","sun, yanhua","johnson, mikael","rajahonka, mervi","li, mingguo","inanc, duygu","zantow, kenneth",
"west, joel","de jong, jeroen p.j.*","vossen, alexander","sicotte, hélène","stiegler, annika","ernst, markus","schiavone, francesco","reinsberger, kathrin",,,"nishikawa, hidehiko",,,,"juntunen, jouni k.","pacauskas, darius","ye, hua",,,
"felin, teppo","su, yu shan","kleer, robin","hamdi-kidar, linda","von hippel, eric","schulz, stefanie","villasalero, manuel","schirg, florian",,,"karpukhina, tatiana",,,,"mäkinen, samuli","mäntymäki, matti",,,,
"lakhani, karim r.*","flowers, stephen","pollok, patrick","le nagard, emmanuelle","lock, phillip",,"ghasemzadeh, khatereh","goduscheit, rené chester",,,"ogawa, susumu*",,,,"hyysalo, sampsa","rajala, risto",,,,
"tushman, michael l.","gault, fred*",,"vellera, cyrielle","lehnen, jens",,"raïes, karine","jørgensen, jacob høj",,,"oberhauser, stefan",,,,"repo, petteri",,,,,
,"gillert, nils lennart",,"vernette, eric","schmidt, tobias sebastian",,"rivieccio, giorgia","hinsch, mareike e.",,,"prügl, reinhard",,,,"timonen, päivi",,,,,
,"kuusisto, jari*",,"berg jensen, morten","pieper, thorsten",,,"stockstrom, christoph s.",,,"pongtanalert, kritinee",,,,"usenyuk, svetlana",,,,,
,"mulhuijzen, max",,"lettl, christopher*","preißner, stephanie",,,"morrison, pamela d.",,,"pasquini, martina",,,,"kristensson, per",,,,,
,"poldervaart, sabrine",,,"skiba, florian",,,"roberts, john h.",,,"verona, gianmario",,,,"stewart, james",,,,,
,"rigtering, coen",,,"tietze, frank",,,"tietz, robert",,,,,,,"trischler, jakob",,,,,
,"schemmann, brita",,,"wellner, konstantin",,,,,,,,,,,,,,,
,"spaans, lara",,,"zaggl, michael a.",,,,,,,,,,,,,,,
,"stock, ruth maria*",,,,,,,,,,,,,,,,,,
,"friedmann, jens christian",,,,,,,,,,,,,,,,,,
,"wu, nety",,,,,,,,,,,,,,,,,,
,"gambardella, alfonso",,,,,,,,,,,,,,,,,,
,"gobble, maryanne m.",,,,,,,,,,,,,,,,,,
,"euchner, jim",,,,,,,,,,,,,,,,,,
,"kuusisto, arja",,,,,,,,,,,,,,,,,,
,"yli-viitala, pirjo",,,,,,,,,,,,,,,,,,
,"katz, ralph",,,,,,,,,,,,,,,,,,
,"kaulartz, sandro",,,,,,,,,,,,,,,,,,
,"paradiso, joseph a.",,,,,,,,,,,,,,,,,,
,"wu, chia huei",,,,,,,,,,,,,,,,,,
,"yu, xin",,,,,,,,,,,,,,,,,,
