maroon,teal,orange,green,yellow,red,blue,purple,pink,indigo,gold,brown
"ahvari, hooman","bortoluzzi, guido","de jong, jeroen p.j.","fursov, konstantin","globocnik, dietfried","gong, yu","hamdi-kidar, linda","hartmann, mia rosa","hyysalo, sampsa","o'hern, matthew","raïes, karine","von hippel, christiana d."
"ekhlassi, amir","yordanova, zornitsa","gault, fred","linton, jonathan","faullant, rita","jia, fu","vellera, cyrielle","hartmann, rasmus koss","johnson, mikael","ye, jun","schiavone, francesco","cann, andrew b."
"mcdonagh, joe","ghasemzadeh, khatereh","kuusisto, jari","nefedova, alena",,"shi, yangyan",,,"juntunen, jouni k.","wu, jiajun","rivieccio, giorgia",
,,"poldervaart, sabrine","thurner, thomas",,"zhang, yufang",,,"kristensson, per",,,
,,"raasch, christina",,,"sun, yanhua",,,"trischler, jakob",,,
,,"rigtering, coen",,,,,,,,,
,,"spaans, lara",,,,,,,,,
,,"von hippel, eric",,,,,,,,,
,,"kuusisto, arja",,,,,,,,,
,,"yli-viitala, pirjo",,,,,,,,,
,,"wu, chia huei",,,,,,,,,
