maroon,teal,gold,indigo,yellow,red,blue,purple,pink,brown,green,olive,navy,silver,black,crimson,grey,coral,darkgreen,orange,cyan,magenta,lime,darkblue
"abrate, graziano","afuah, allan","ahvari, hooman","altman, elizabeth j.","bilgram, volker","bortoluzzi, guido","buganza, tommaso","bäckström, izabelle","crocco, edoardo","cui, miao","escobar, octavio","ford, simon j.","fritzsche, albrecht","fursov, konstantin","globocnik, dietfried","hamdi-kidar, linda","hartmann, mia rosa","helminen, pia","o'hern, matthew","peine, alexander","schmidt-keilich, marc","schulz, michael","shermon, anavir","von hippel, christiana d."
"menozzi, anna","bastian, bettina","ekhlassi, amir","szulanski, gabriel","gutstein, adele","yordanova, zornitsa","dell'era, claudio","bengtsson, lars","culasso, francesca","liu, yan","khvatova, tatiana","jaeger, manuel","moeslein, kathrin m.","linton, jonathan","faullant, rita","vellera, cyrielle","hartmann, rasmus koss","freeman, stephanie","ye, jun","herrmann, andrea m.","schrader, ulf","völckner, franziska","moeen, mahka","cann, andrew b."
,"bogers, marcel","mcdonagh, joe","balka, kerstin","marchuk, anna","ghasemzadeh, khatereh","pellizzoni, elena",,"giacosa, elisa","qian, jinfang","maalaoui, adnane","mortara, letizia","naik, hari suman","nefedova, alena",,,,"johnson, mikael","wu, jiajun",,,,,
,,,"herstatt, cornelius","brem, alexander",,"trabucchi, daniel",,"yahiaoui, dorra",,"schiavone, francesco",,,"thurner, thomas",,,,"juntunen, jouni k.",,,,,,
,,,"raasch, christina",,,,,,,"raïes, karine",,,,,,,"mäkinen, samuli",,,,,,
,,,"de jong, jeroen p.j.",,,,,,,"rivieccio, giorgia",,,,,,,"hyysalo, sampsa",,,,,,
,,,"gault, fred",,,,,,,,,,,,,,"kristensson, per",,,,,,
,,,"kuusisto, jari",,,,,,,,,,,,,,"trischler, jakob",,,,,,
,,,"poldervaart, sabrine",,,,,,,,,,,,,,,,,,,,
,,,"rigtering, coen",,,,,,,,,,,,,,,,,,,,
,,,"spaans, lara",,,,,,,,,,,,,,,,,,,,
,,,"von hippel, eric",,,,,,,,,,,,,,,,,,,,
,,,"friedmann, jens christian",,,,,,,,,,,,,,,,,,,,
,,,"wu, nety",,,,,,,,,,,,,,,,,,,,
,,,"gambardella, alfonso",,,,,,,,,,,,,,,,,,,,
,,,"lock, phillip",,,,,,,,,,,,,,,,,,,,
,,,"schweisfurth, tim g.",,,,,,,,,,,,,,,,,,,,
,,,"wu, chia huei",,,,,,,,,,,,,,,,,,,,
