maroon,teal,gold,orange,green,yellow,red,cyan,purple,pink,indigo,magenta,lime,olive,navy,silver,black,crimson,grey,coral,darkblue,darkgreen,darkviolet,darkorange,darkcyan,darkmagenta,firebrick,deeppink,dodgerblue,forestgreen,fuchsia,goldenrod,greenyellow,hotpink,indianred,khaki,lawngreen,lightblue,lightcoral,lightgreen,lightpink,lightsalmon,lightseagreen,lightskyblue,lightslategray,darkred,brown,darkturquoise,blue
"adams, pamela","afuah, allan","ahvari, hooman","antorini, yun mi","arvanitis, spyros","bae, zong tae","berends, hans","bilgram, volker","björk, jennie","bortoluzzi, guido","bradonjic, philip","bäckström, izabelle","chandra, yanto","chatterji, aaron k.","chen, xiaohong","crocco, edoardo","cui, miao","di gangi, paul m.","faulkner, philip","fursov, konstantin","giachetti, claudio","globocnik, dietfried","hamdi-kidar, linda","harrison, debbie","hartmann, mia rosa","hassan, salah s.","helminen, pia","hu, yansong","janzik, lars","kankanhalli, atreyi","karantinou, kalipso","kim, jieun","leminen, seppo","liang, hua","liao, xiao","lin, jie","lu, yaobin","miyazawa, jun ichi","o'hern, matthew","oberhauser, stefan","oliveira, pedro","peine, alexander","schaarschmidt, mario","schmidt-keilich, marc","shin, hyun","smith, sheryl winston","stanko, michael a.","von hippel, christiana d.","wang, yonggui"
"fontana, roberto","bastian, bettina","ekhlassi, amir","jensen, morten berg","fuchs, barbara","kang, shin hyung","deken, fleur","gutstein, adele","magnusson, mats","yordanova, zornitsa","franke, nikolaus","bengtsson, lars","leenders, mark a.a.m.","fabrizio, kira","probert, david","culasso, francesca","liu, yan","wasko, molly","runde, jochen","linton, jonathan","de gennaro, pamela","faullant, rita","keinz, peter","waluszewski, alexandra","hartmann, rasmus koss","mourad, maha","freeman, stephanie","mcloughlin, damien","raasch, christina","teo, hock hai","goffin, keith","park, yongtae","nyström, anna greta","zhang, zongyi","xi, yunjiang","jiang, xiaoyan","gupta, sumeet","takahashi, shingo","ye, jun","prügl, reinhard","veloso, francisco","herrmann, andrea m.","kilian, thomas","schrader, ulf","rao, p. m.","shah, sonali k.","allen, b. j.","cann, andrew b.","li, dahui"
"malerba, franco","bogers, marcel","mcdonagh, joe","muñiz, albert m.","woerter, martin","kim, joong hyun","feldberg, frans","marchuk, anna","sandström, gunilla ölundh","escobar, octavio","lüthje, christian",,"cong, ling mei",,"su, jun","giacosa, elisa","qian, jinfang",,,"nefedova, alena","marchi, gianluca",,"le nagard, emmanuelle",,"svensson, peter o.","tolba, ahmed h.","johnson, mikael",,,"ye, hua jonathan","sakellariou, evy",,"westerlund, mika",,"ye, guangyu","wang, chao","ma, jifeng","yoshida, daichi","wu, jiajun","schreier, martin","van der boor, paul",,,,"shin, jongtae",,,,
,"west, joel",,"nørskov, sladjana",,,"borner, kathrin","brem, alexander","wadell, carl","villasalero, manuel","ebbing, tobias",,"zhou, michael",,"zhou, yuan","yahiaoui, dorra",,,,"thurner, thomas",,,"vellera, cyrielle",,,,"juntunen, jouni k.",,,,,,,,"yu, juan","zhou, lixin",,,,,,,,,,,,,
,,,,,,,"gladysz, bartosz",,"ghasemzadeh, khatereh","goduscheit, rené chester",,,,,,,,,,,,"vernette, eric",,,,"mäkinen, samuli",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"ernst, markus",,,"jørgensen, jacob høj",,,,,,,,,,,,,,,,"hyysalo, sampsa",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"schulz, stefanie",,,"herstatt, cornelius",,,,,,,,,,,,,,,,"usenyuk, svetlana",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"von hippel, eric",,,,,,,,,,,,,,,,"kristensson, per",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"hinsch, mareike e.",,,,,,,,,,,,,,,,"trischler, jakob",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"stockstrom, christoph s.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"morrison, pamela d.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"tietz, robert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
