maroon,teal,gold,orange,green,yellow,red,purple,pink,brown,magenta,lime,olive,navy,silver,black,crimson,grey,darkblue,darkgreen,darkred,darkviolet,darkorange,darkcyan,darkmagenta,deeppink,darkturquoise,blue,indigo,cyan,coral
"adams, pamela","afuah, allan","ahvari, hooman","antorini, yun mi","arvanitis, spyros","berends, hans","bilgram, volker","bortoluzzi, guido","buganza, tommaso","chen, jin","escobar, octavio","ford, simon j.","fuchs, christoph","fursov, konstantin","globocnik, dietfried","hakkarainen, louna","hamdi-kidar, linda","hartmann, mia rosa","lambert, simon j.","liang, hua","lu, yaobin","mendonça, joana","o'hern, matthew","oliveira, pedro","peine, alexander","schaarschmidt, mario","schulz, michael","shin, hyun","smith, sheryl winston","stanko, michael a.","von hippel, christiana d."
"fontana, roberto","bastian, bettina","ekhlassi, amir","muñiz, albert m.","fuchs, barbara","deken, fleur","marchuk, anna","yordanova, zornitsa","dell'era, claudio","de jong, jeroen p.j.","khvatova, tatiana","jaeger, manuel","dahl, darren w.","linton, jonathan","faullant, rita","heiskanen, eva","vellera, cyrielle","hartmann, rasmus koss","krivokapic-skoko, branka","zhang, zongyi","gupta, sumeet","reis, anabela","ye, jun","veloso, francisco","herrmann, andrea m.","kilian, thomas","völckner, franziska","rao, p. m.","shah, sonali k.","allen, b. j.","cann, andrew b."
"malerba, franco","bogers, marcel","mcdonagh, joe",,"woerter, martin","feldberg, frans","brem, alexander","ghasemzadeh, khatereh","pellizzoni, elena","su, yu shan","maalaoui, adnane","mortara, letizia","schreier, martin","nefedova, alena",,"hyysalo, sampsa",,"svensson, peter o.",,,"ma, jifeng",,"wu, jiajun","van der boor, paul",,,,"shin, jongtae",,,
,"mccarthy, ian p.",,,,"borner, kathrin","ernst, markus",,"trabucchi, daniel","von hippel, eric","schiavone, francesco",,,"thurner, thomas",,"johnson, mikael",,,,,,,,,,,,,,,
,"pitt, leyland",,,,,,,,"flowers, stephen","raïes, karine",,,,,"juntunen, jouni k.",,,,,,,,,,,,,,,
,"west, joel",,,,,,,,"gault, fred","rivieccio, giorgia",,,,,"repo, petteri",,,,,,,,,,,,,,,
,,,,,,,,,"gillert, nils lennart",,,,,,"timonen, päivi",,,,,,,,,,,,,,,
,,,,,,,,,"kuusisto, jari",,,,,,"kristensson, per",,,,,,,,,,,,,,,
,,,,,,,,,"poldervaart, sabrine",,,,,,"trischler, jakob",,,,,,,,,,,,,,,
,,,,,,,,,"raasch, christina",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"rigtering, coen",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"spaans, lara",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"stock, ruth maria",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"mulhuijzen, max",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"wu, chia huei",,,,,,,,,,,,,,,,,,,,,
