maroon,teal,gold,orange,green,red,brown,purple,pink,indigo,cyan,magenta,lime,olive,navy,silver,black,crimson,grey,coral,darkviolet,darkgreen,darkred,darkorange,darkmagenta,deeppink,dodgerblue,firebrick,forestgreen,fuchsia,greenyellow,goldenrod,yellow,blue,darkblue,darkcyan,darkturquoise
"adams, pamela","afuah, allan","antorini, yun mi","arvanitis, spyros","bae, zong tae","balka, kerstin","bilgram, volker","björk, jennie","bortoluzzi, guido","buganza, tommaso","chandra, yanto","chatterji, aaron k.","cui, miao","di gangi, paul m.","ford, simon j.","fritzsche, albrecht","fursov, konstantin","giachetti, claudio","globocnik, dietfried","goduscheit, rené chester","hakkarainen, louna","hamdi-kidar, linda","harrison, debbie","jahanmir, sara f.","karantinou, kalipso","leminen, seppo","miyazawa, jun ichi","o'hern, matthew","oliveira, pedro","peine, alexander","pongtanalert, kritinee","schreier, martin","schulz, michael","stanko, michael a.","svensson, peter o.","von hippel, christiana d.","wang, yonggui"
"fontana, roberto","bastian, bettina","jensen, morten berg","fuchs, barbara","kang, shin hyung","herstatt, cornelius","gutstein, adele","magnusson, mats","yordanova, zornitsa","dell'era, claudio","leenders, mark a.a.m.","fabrizio, kira","liu, yan","wasko, molly","jaeger, manuel","moeslein, kathrin m.","linton, jonathan","de gennaro, pamela","faullant, rita","jørgensen, jacob høj","heiskanen, eva","keinz, peter","waluszewski, alexandra","lages, luis filipe","goffin, keith","nyström, anna greta","takahashi, shingo","ye, jun","veloso, francisco","herrmann, andrea m.","ogawa, susumu","prügl, reinhard","völckner, franziska","allen, b. j.","hartmann, rasmus koss","cann, andrew b.","li, dahui"
"malerba, franco","bogers, marcel","nørskov, sladjana","woerter, martin","kim, joong hyun","raasch, christina","marchuk, anna","sandström, gunilla ölundh","escobar, octavio","pellizzoni, elena","cong, ling mei",,"qian, jinfang",,"mortara, letizia","naik, hari suman","nefedova, alena","marchi, gianluca",,,"helminen, pia","le nagard, emmanuelle",,,"sakellariou, evy","westerlund, mika","yoshida, daichi","wu, jiajun","van der boor, paul",,,,,,,,
,"west, joel",,,,"braun, viktor","brem, alexander","wadell, carl","villasalero, manuel","trabucchi, daniel","zhou, michael",,,,,,"thurner, thomas",,,,"freeman, stephanie","vellera, cyrielle",,,,,,,,,,,,,,,
,,,,,"hippel, eric von","gladysz, bartosz",,"ghasemzadeh, khatereh",,,,,,,,,,,,"johnson, mikael","vernette, eric",,,,,,,,,,,,,,,
,,,,,"lock, phillip","ernst, markus",,,,,,,,,,,,,,"juntunen, jouni k.",,,,,,,,,,,,,,,,
,,,,,"janzik, lars","schulz, stefanie",,,,,,,,,,,,,,"mäkinen, samuli",,,,,,,,,,,,,,,,
,,,,,"lehnen, jens",,,,,,,,,,,,,,,"hyysalo, sampsa",,,,,,,,,,,,,,,,
,,,,,"schmidt, tobias sebastian",,,,,,,,,,,,,,,"repo, petteri",,,,,,,,,,,,,,,,
,,,,,"lüthje, christian",,,,,,,,,,,,,,,"timonen, päivi",,,,,,,,,,,,,,,,
,,,,,"morrison, pamela d.",,,,,,,,,,,,,,,"usenyuk, svetlana",,,,,,,,,,,,,,,,
,,,,,"pieper, thorsten",,,,,,,,,,,,,,,"kristensson, per",,,,,,,,,,,,,,,,
,,,,,"schweisfurth, tim g.",,,,,,,,,,,,,,,"trischler, jakob",,,,,,,,,,,,,,,,
,,,,,"skiba, florian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"tietz, robert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"tietze, frank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"wellner, konstantin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"zaggl, michael a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
