maroon,teal,gold,orange,green,yellow,red,blue,pink,brown,indigo,cyan,magenta,olive,navy,silver,black,crimson,coral,darkblue,darkgreen,darkred,greenyellow,darkcyan,deeppink,dodgerblue,firebrick,forestgreen,goldenrod,hotpink,khaki,lightblue,lightcoral,lightgreen,lightpink,lightsalmon,lightslategray,lightsteelblue,limegreen,mediumaquamarine,mediumblue,mediumorchid,mediumseagreen,mediumspringgreen,mediumturquoise,mediumvioletred,midnightblue,mistyrose,navajowhite,olivedrab,orangered,orchid,palegoldenrod,palegreen,fuchsia,paleturquoise,indianred,purple,lawngreen,lime,lightseagreen,lightskyblue,grey,mediumpurple,mediumslateblue,darkviolet,darkorange,darkmagenta,darkturquoise
"abrate, graziano","adams, pamela","ahvari, hooman","andriani, pierpaolo","antorini, yun mi","arvanitis, spyros","awazu, yukika","bae, zong tae","baldwin, carliss","björk, jennie","blohm, ivo","bogers, marcel","brem, alexander","buganza, tommaso","cao, xinyan","casadesus-masanell, ramon","chandra, yanto","chatterji, aaron k.","chen, xiaohong","chou, jerome chih lung","crocco, edoardo","cui, miao","dahl, darren w.","dahlander, linus","della santa, silvia","di gangi, paul m.","di, paul m.","escobar, octavio","faulkner, philip","fursov, konstantin","globocnik, dietfried","goduscheit, rené chester","gong, yu","hakkarainen, louna","haller, jörg b.a.","hamdi-kidar, linda","hicks, christian","hopkins, michael m.","hossain, mokter","hu, suya","hu, yansong","jahanmir, sara f.","kankanhalli, atreyi","karantinou, kalipso","kim, jieun","koch, stefan","lambert, simon j.","lauritzen, ghita dragsdahl","leidner, dorothy e.","liang, hua","liao, xiao","lin, jie","lu, yaobin","miyazawa, jun ichi","mukherjee, satyam","o'hern, matthew","rauch, madeleine","rayna, thierry","roy, raja","rubalcaba, luis","schaarschmidt, mario","scheid, françois","schmidt-keilich, marc","schulz, michael","shermon, anavir","shin, hyun","smith, sheryl winston","stanko, michael a.","von hippel, christiana d."
"baima, gabriele","fontana, roberto","ekhlassi, amir","de toni, alberto felice","jensen, morten berg","fuchs, barbara","ramaprasad, arkalgud","kang, shin hyung","hienerth, christoph","magnusson, mats","bretschneider, ulrich","mccarthy, ian p.","bilgram, volker","dell'era, claudio","fang, xiang","llanes, gastón","leenders, mark a.a.m.","fabrizio, kira","probert, david","dong, tse ping","culasso, francesca","liu, yan","fuchs, christoph","frederiksen, lars","marchi, gianluca","wasko, molly","hooker, robert e.","khvatova, tatiana","runde, jochen","nefedova, alena","faullant, rita","jørgensen, jacob høj","jia, fu","heiskanen, eva","möslein, kathrin m.","keinz, peter","pachamanova, dessislava","miller, roger","leminen, seppo","wang, alan","mcloughlin, damien","lages, luis filipe","kim, seung hyun","goffin, keith","park, yongtae","artmayr, philipp","krivokapic-skoko, branka","la cour, anders","benbya, hind","zhang, zongyi","xi, yunjiang","jiang, xiaoyan","gupta, sumeet","takahashi, shingo","jain, tarun","ye, jun","ansari, shahzad","darlington, john","cohen, susan k.","deschryvere, matthias","kilian, thomas","charue-duboc, florence","schrader, ulf","völckner, franziska","moeen, mahka","rao, p. m.","shah, sonali k.","allen, b. j.","cann, andrew b."
"menozzi, anna","malerba, franco","mcdonagh, joe","carignani, giuseppe","nørskov, sladjana","woerter, martin","desouza, kevin c.","kim, joong hyun","von hippel, eric","sandström, gunilla ölundh","krcmar, helmut","pitt, leyland","gladysz, bartosz","pellizzoni, elena","yang, yu",,"cong, ling mei",,"su, jun","hung, chia liang","giacosa, elisa","qian, jinfang","schreier, martin",,"tagliazucchi, giulia",,"wasko, molly m.","maalaoui, adnane",,"thurner, thomas",,,"shi, yangyan","helminen, pia","schneckenberg, dirk","le nagard, emmanuelle",,"nightingale, paul","westerlund, mika","xu, di",,,"teo, hock hai","sakellariou, evy",,"inanc, duygu",,"salomo, søren","yan, jie (kevin)",,"ye, guangyu","wang, chao","ma, jifeng","yoshida, daichi",,"wu, jiajun",,"striukova, ludmila",,,,,,,,"shin, jongtae",,,
"pera, rebecca",,,,,,,,"chen, jin","wadell, carl","marco, jan leimeister",,"ernst, markus","trabucchi, daniel","chai, ruirui",,"zhou, michael",,"zhou, yuan",,"yahiaoui, dorra",,"franke, nikolaus",,,,,"schiavone, francesco",,,,,"zhang, yufang","freeman, stephanie","velamuri, vivek k.","vellera, cyrielle",,"tidd, joe","nyström, anna greta",,,,"ye, hua jonathan",,,,,,,,"yu, juan","zhou, lixin",,,,,,,,,,,,,,,,,
,,,,,,,,"de jong, jeroen p.j.",,,,"gutstein, adele",,"liu, wei",,,,,,,,"prandelli, emanuela",,,,,"villasalero, manuel",,,,,"sun, yanhua","johnson, mikael",,"vernette, eric",,,"rajahonka, mervi",,,,"li, mingguo",,,,,,,,"zantow, kenneth",,,,,,,,,,,,,,,,,,
,,,,,,,,"su, yu shan",,,,"schulz, stefanie",,,,,,,,,,"nishikawa, hidehiko",,,,,"yordanova, zornitsa",,,,,,"juntunen, jouni k.",,,,,"pacauskas, darius",,,,"ye, hua",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"flowers, stephen",,,,,,,,,,,,,,"ogawa, susumu",,,,,"ghasemzadeh, khatereh",,,,,,"mäkinen, samuli",,,,,"mäntymäki, matti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"gault, fred",,,,,,,,,,,,,,"oberhauser, stefan",,,,,,,,,,,"hyysalo, sampsa",,,,,"rajala, risto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"kuusisto, jari",,,,,,,,,,,,,,"prügl, reinhard",,,,,,,,,,,"repo, petteri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"raasch, christina",,,,,,,,,,,,,,"pongtanalert, kritinee",,,,,,,,,,,"timonen, päivi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
