maroon,teal,gold,orange,green,red,blue,purple,pink,yellow
"abrate, graziano","adams, pamela","baldwin, carliss","chen, xiaohong","dahl, darren w.","escobar, octavio","hu, suya","hyysalo, sampsa","leminen, seppo","liao, xiao"
"menozzi, anna","fontana, roberto","hienerth, christoph","probert, david","fuchs, christoph","schiavone, francesco","xu, di","freeman, stephanie","westerlund, mika","xi, yunjiang"
,"malerba, franco","von hippel, eric","su, jun","schreier, martin",,,"johnson, mikael",,"ye, guangyu"
,,"de jong, jeroen p.j.","zhou, yuan","prandelli, emanuela",,,"juntunen, jouni k.",,"yu, juan"
,,"raasch, christina",,"prügl, reinhard",,,,,
,,"franke, nikolaus",,,,,,,
,,"gambardella, alfonso",,,,,,,
,,"janzik, lars",,,,,,,
,,"oliveira, pedro",,,,,,,
,,"euchner, jim",,,,,,,
