maroon,teal,gold,orange,green,yellow,red,blue,purple,pink,brown,indigo,cyan,magenta,lime,olive,navy,silver,black,crimson,grey,darkblue,darkgreen,darkred,darkviolet,darkorange,darkcyan,darkmagenta,darkturquoise,deeppink,dodgerblue,firebrick,forestgreen,coral
"afuah, allan","amft, andré","antorini, yun mi","awazu, yukika","berends, hans","bilgram, volker","blohm, ivo","bortoluzzi, guido","buganza, tommaso","cui, miao","dahlander, linus","ford, simon j.","fritzsche, albrecht","fuchs, christoph","fursov, konstantin","giachetti, claudio","globocnik, dietfried","goduscheit, rené chester","haller, jörg b.a.","hassan, salah s.","helminen, pia","janzik, lars","järvilehto, mikko","kankanhalli, atreyi","koch, stefan","rayna, thierry","raïes, karine","schaarschmidt, mario","schmidt-keilich, marc","stanko, michael a.","svensson, peter o.","von hippel, christiana d.","wang, yonggui","xiao, ting"
"bastian, bettina","diener, kathleen","muñiz, albert m.","ramaprasad, arkalgud","deken, fleur","gutstein, adele","bretschneider, ulrich","yordanova, zornitsa","dell'era, claudio","liu, yan","piezunka, henning","jaeger, manuel","moeslein, kathrin m.","dahl, darren w.","nefedova, alena","de gennaro, pamela","faullant, rita","jørgensen, jacob høj","möslein, kathrin m.","mourad, maha","freeman, stephanie","raasch, christina","liukkunen, kari","teo, hock hai","artmayr, philipp","darlington, john","schiavone, francesco","kilian, thomas","schrader, ulf","allen, b. j.","hartmann, rasmus koss","cann, andrew b.","li, dahui","wang, xuan"
"bogers, marcel","lüttgens, dirk",,"desouza, kevin c.","feldberg, frans","brem, alexander","krcmar, helmut","ghasemzadeh, khatereh","pellizzoni, elena","qian, jinfang",,"mortara, letizia","naik, hari suman","prandelli, emanuela","thurner, thomas","marchi, gianluca",,,"schneckenberg, dirk","tolba, ahmed h.","johnson, mikael",,"similä, jouni","ye, hua jonathan","bierbamer, michael","striukova, ludmila","rivieccio, giorgia",,,,,,,"yang, cai"
"west, joel","piller, frank t.",,,"borner, kathrin","ernst, markus","marco, jan leimeister",,"trabucchi, daniel",,,,,"schreier, martin",,,,,"velamuri, vivek k.",,"juntunen, jouni k.",,,,"guceri-ucar, gozem",,,,,,,,,"yang, zhi"
,"franke, nikolaus",,,,,,,,,,,,"prügl, reinhard",,,,,,,"mäkinen, samuli",,,,"inanc, duygu",,,,,,,,,
,"ihl, christoph",,,,,,,,,,,,,,,,,,,"hyysalo, sampsa",,,,,,,,,,,,,
,"tarman, refik tarcan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"vossen, alexander",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"kleer, robin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"pollok, patrick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"steiner, frank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
