maroon,teal,gold
academy of management review,decision support systems,journal of engineering and technology management - jet-m
business horizons,international journal of innovation management,research policy
energy policy,mis quarterly: management information systems,creativity and innovation management
industrial marketing management,technovation,corporate social responsibility and environmental management
international journal of entrepreneurship and innovation management,ieee transactions on engineering management,international journal of information management
international journal of innovation and sustainable development,information and organization,economics of innovation and new technology
international journal of innovation and technology management,international journal of networking and virtual organisations,industrial and corporate change
international journal of project organisation and management,marketing letters,journal of marketing
international journal of technology management,european journal of innovation management,journal of promotion management
r and d management,european management journal,mis quarterly executive
annals of operations research,international journal of research in marketing,strategic entrepreneurship journal
journal of high technology management research,journal of business venturing,strategic management journal
journal of services marketing,international journal of production research,journal of business research
journal of technology transfer,journal of product innovation management,journal of small business management
organization science,,
research technology management,,
technological forecasting and social change,,
journal of cleaner production,,
international journal of technology intelligence and planning,,
technology analysis and strategic management,,
