maroon,teal,gold,orange,green
academy of management review,decision support systems,journal of engineering and technology management - jet-m,creativity and innovation management,international journal of technology marketing
business horizons,international journal of innovation management,research policy,corporate social responsibility and environmental management,journal of cultural economics
energy policy,mis quarterly: management information systems,european journal of innovation management,international journal of information management,journal of management
industrial marketing management,technovation,industrial and corporate change,economics of innovation and new technology,
international journal of entrepreneurship and innovation management,ieee transactions on engineering management,journal of business research,,
international journal of innovation and sustainable development,information and organization,journal of marketing,,
international journal of innovation and technology management,international journal of networking and virtual organisations,journal of promotion management,,
international journal of project organisation and management,marketing letters,mis quarterly executive,,
international journal of technology management,european management journal,strategic entrepreneurship journal,,
r and d management,international journal of research in marketing,strategic management journal,,
annals of operations research,journal of business venturing,journal of small business management,,
journal of high technology management research,international journal of production research,,,
journal of services marketing,journal of product innovation management,,,
journal of technology transfer,,,,
organization science,,,,
research technology management,,,,
technological forecasting and social change,,,,
journal of cleaner production,,,,
international journal of technology intelligence and planning,,,,
technology analysis and strategic management,,,,
