maroon,teal,gold,orange
academy of management review,decision support systems,journal of engineering and technology management - jet-m,creativity and innovation management
business horizons,international journal of innovation management,research policy,corporate social responsibility and environmental management
energy policy,journal of product innovation management,technological forecasting and social change,international journal of information management
industrial marketing management,mis quarterly: management information systems,european journal of innovation management,economics of innovation and new technology
international journal of entrepreneurship and innovation management,technovation,industrial and corporate change,journal of cleaner production
international journal of innovation and sustainable development,ieee transactions on engineering management,journal of business research,international journal of technology marketing
international journal of innovation and technology management,information and organization,journal of marketing,journal of cultural economics
international journal of project organisation and management,international journal of networking and virtual organisations,journal of promotion management,journal of management
international journal of technology management,marketing letters,mis quarterly executive,
r and d management,european management journal,strategic entrepreneurship journal,
annals of operations research,journal of business venturing,strategic management journal,
journal of high technology management research,international journal of production research,journal of small business management,
journal of services marketing,,international journal of technology intelligence and planning,
journal of technology transfer,,technology analysis and strategic management,
organization science,,,
