teal,maroon
california management review,long range planning
harvard business review,journal of business research
journal of the academy of marketing science,mit sloan management review
creativity and innovation management,technovation
international journal of innovation management,journal of industrial economics
journal of applied psychology,journal of economic behavior and organization
journal of consumer research,management science
journal of marketing,
journal of marketing research,
organization science,
