teal,maroon
american economic review,business horizons
international journal of research in marketing,ieee transactions on engineering management
journal of applied psychology,international journal of innovation management
journal of cleaner production,international journal of technology management
journal of industrial economics,journal of interactive marketing
journal of the academy of marketing science,journal of management information systems
marketing science,long range planning
mit sloan management review,international journal of information management
technological forecasting and social change,mis quarterly executive
technovation,organization studies
journal of consumer research,european journal of innovation management
california management review,international journal of innovation and technology management
harvard business review,creativity and innovation management
industrial marketing management,organization science
journal of business research,
journal of marketing,
journal of marketing research,
management science,
