maroon,teal,gold,orange,green
academy of management annals,advances in consumer research,business strategy and the environment,journal of consumer research,electronic commerce research
research in the sociology of organizations,european management journal,journal of consumer psychology,business horizons,european journal of marketing
strategic organization,international journal of technology management,advances in strategic management,international journal of information management,ieee transactions on engineering management
academy of management perspectives,journal of interactive marketing,american economic review,journal of organizational behavior,international marketing review
human relations,marketing letters,advances in international marketing,mis quarterly executive,journal of marketing
organization studies,harvard business review,ecological economics,econometrica,journal of marketing management
r&d management,journal of applied psychology,international journal of industrial organization,journal of business strategy,journal of marketing research
journal of industrial economics,journal of management information systems,international journal of innovation and sustainable development,creativity and innovation management,journal of retailing
mit sloan management review,long range planning,management decision,european journal of innovation management,american psychologist
information and organization,marketing science,small business economics,journal of macromarketing,international journal of technology marketing
organization science,marketing theory,technological forecasting and social change,organizational research methods,journal of consumer behaviour
,production and operations management,decision sciences,international journal of research in marketing,australasian marketing journal
,california management review,international journal of production research,journal of knowledge management,international journal of innovation and technology management
,energy policy,economic journal,,international entrepreneurship and management journal
,journal of operations management,journal of political economy,,technovation
,,journal of services marketing,,journal of manufacturing technology management
,,economics of innovation and new technology,,
,,industrial marketing management,,
,,international journal of innovation management,,
,,journal of business research,,
,,journal of cleaner production,,
,,journal of the academy of marketing science,,
,,service industries journal,,
,,journal of economic behavior and organization,,
,,management science,,
