maroon,teal,gold
academy of management perspectives,advances in consumer research,journal of applied psychology
human relations,electronic commerce research,american economic review
organization studies,european management journal,business horizons
research in the sociology of organizations,ieee transactions on engineering management,economic journal
management decision,journal of management information systems,economics of innovation and new technology
journal of industrial economics,journal of organizational behavior,european journal of marketing
mit sloan management review,marketing letters,international journal of industrial organization
strategic organization,mis quarterly executive,international marketing review
organization science,international journal of innovation management,journal of cleaner production
,international journal of research in marketing,journal of consumer psychology
,international journal of technology management,journal of marketing management
,journal of interactive marketing,journal of political economy
,long range planning,journal of retailing
,journal of operations management,journal of the academy of marketing science
,journal of consumer research,marketing science
,energy policy,small business economics
,european journal of innovation management,technological forecasting and social change
,international journal of information management,technovation
,international journal of innovation and technology management,american psychologist
,journal of knowledge management,journal of consumer behaviour
,creativity and innovation management,california management review
,journal of marketing research,harvard business review
,organizational research methods,journal of macromarketing
,,industrial marketing management
,,journal of business research
,,journal of economic behavior and organization
,,journal of marketing
,,journal of services marketing
,,management science
