maroon,teal,gold
academy of management perspectives,advances in consumer research,international journal of research in marketing
journal of cleaner production,long range planning,journal of retailing
american economic review,organization studies,r&d management
california management review,mis quarterly executive,european management journal
management decision,business horizons,harvard business review
international journal of innovation management,ieee transactions on engineering management,journal of the academy of marketing science
journal of business research,international journal of technology management,marketing letters
journal of consumer research,journal of industrial economics,technovation
technological forecasting and social change,journal of interactive marketing,creativity and innovation management
journal of economic behavior and organization,journal of management information systems,european journal of marketing
management science,electronic commerce research,journal of applied psychology
,international journal of information management,marketing science
,european journal of innovation management,journal of marketing research
,industrial marketing management,organization science
,international journal of innovation and technology management,
,journal of marketing,
,mit sloan management review,
