orange,maroon,gold,green,teal
academy of management annals,academy of management perspectives,advances in consumer research,harvard business manager,european management journal
research in the sociology of organizations,business strategy and the environment,human relations,international small business journal,journal of organizational behavior
strategic organization,ecological economics,international journal of research in marketing,journal of marketing theory and practice,journal of the academy of marketing science
american economic review,international journal of innovation and sustainable development,long range planning,advances in international marketing,decision sciences
advances in strategic management,journal of cleaner production,organization studies,journal of advertising,international journal of innovation management
economic journal,energy policy,mis quarterly executive,journal of intellectual capital,international journal of production research
economics letters,journal of consumer psychology,business horizons,international journal of technology management,journal of applied psychology
economics of innovation and new technology,management decision,ieee transactions on engineering management,international marketing review,journal of business and psychology
international journal of industrial organization,technological forecasting and social change,journal of interactive marketing,journal of economic psychology,journal of service management
journal of industrial economics,information and organization,journal of management information systems,journal of manufacturing technology management,organizational research methods
small business economics,,marketing theory,journal of operations management,
service industries journal,,production and operations management,journal of retailing,
california management review,,electronic commerce research,mckinsey quarterly,
harvard business review,,international journal of information management,american psychologist,
organizational dynamics,,international journal of technology marketing,journal of consumer behaviour,
science,,journal of business strategy,r&d management,
econometrica,,journal of knowledge management,international entrepreneurship and management journal,
human resource management,,journal of macromarketing,journal of consumer marketing,
mit sloan management review,,marketing letters,journal of marketing management,
organizational behavior and human decision processes,,creativity and innovation management,journal of services marketing,
personnel psychology,,european journal of innovation management,technovation,
research in organizational behavior,,industrial marketing management,australasian marketing journal,
journal of management and governance,,international journal of innovation and technology management,journal of business research,
journal of political economy,,,journal of consumer research,
journal of economic behavior and organization,,,journal of marketing,
management science,,,marketing science,
organization science,,,international journal of entrepreneurship and innovation management,
,,,european journal of marketing,
,,,international journal of product development,
,,,journal of marketing research,
