maroon,teal,gold,orange
academy of management annals,advances in consumer research,human relations,journal of cleaner production
research in the sociology of organizations,international journal of research in marketing,advances in international marketing,energy policy
academy of management perspectives,long range planning,international marketing review,business horizons
strategic organization,organization studies,journal of economic psychology,economic journal
american economic review,mis quarterly executive,journal of retailing,economics of innovation and new technology
international journal of industrial organization,journal of interactive marketing,american psychologist,ieee transactions on engineering management
journal of industrial economics,journal of management information systems,journal of consumer behaviour,international journal of technology management
small business economics,electronic commerce research,r&d management,journal of manufacturing technology management
harvard business review,international journal of information management,journal of consumer marketing,journal of operations management
econometrica,journal of knowledge management,journal of consumer psychology,service industries journal
journal of applied psychology,journal of macromarketing,journal of the academy of marketing science,california management review
mit sloan management review,european management journal,european journal of marketing,journal of marketing management
organizational behavior and human decision processes,journal of organizational behavior,journal of business research,journal of services marketing
journal of political economy,management decision,journal of consumer research,technovation
journal of economic behavior and organization,marketing letters,journal of marketing,international journal of innovation management
management science,creativity and innovation management,marketing science,international journal of entrepreneurship and innovation management
organization science,european journal of innovation management,international journal of product development,
,industrial marketing management,journal of marketing research,
,international journal of innovation and technology management,,
,organizational research methods,,
,technological forecasting and social change,,
