teal,orange,gold,maroon
california management review,international journal of innovation management,journal of product innovation management (jpim),long range planning
ieee transactions on engineering management,international journal of product development,creativity and innovation management,management science
international journal of production economics,international journal of project management,r&d management,research policy (rp)
service industries journal,journal of engineering and technology management,technovation,organization science
,journal of business research,journal of applied psychology,harvard business review
,journal of economic behavior and organization,journal of consumer research,industrial marketing management
,mit sloan management review,journal of management information systems,international journal of technology management
,,journal of marketing,journal of industrial economics
,,journal of marketing research,
,,journal of the academy of marketing science,
