maroon,gold,orange,yellow,teal,green,red
academy of management perspectives,international journal of technology marketing,journal of product innovation management (jpim),international journal of production economics,organization science,business horizons,international journal of innovation management
international journal of project management,american economic review,research policy (rp),journal of management information systems,journal of engineering and technology management,technovation,service industries journal
strategic organization,the journal of technology transfer,creativity and innovation management,international journal of research in marketing,management science,ieee transactions on engineering management,european management journal
california management review,r&d management,human resource management,journal of consumer research,european journal of innovation management,international journal of product development,international journal of technology management
long range planning,industrial marketing management,international small business journal,journal of marketing,research-technology management (rtm),european journal of marketing,harvard business review
,international journal of information management,journal of applied psychology,marketing science,industrial and corporate change (icc),international journal of services technology and management,journal of the academy of marketing science
,journal of economic behavior and organization,journal of business and psychology,,industry & innovation,international journal of entrepreneurship and innovation management,
,management decision,journal of economic psychology,,journal of industrial economics,journal of business research,
,,journal of organizational behavior,,mit sloan management review,management review quarterly (früher: journal für betriebswirtschaft jfb),
,,journal of retailing,,organizational behavior and human decision processes,journal of marketing research,
,,marketing letters,,organizational dynamics,organization studies,
,,personnel psychology,,,technological forecasting and social change,
