teal,gold,orange,green,yellow,maroon
academy of management perspectives,international journal of technology marketing,journal of product innovation management (jpim),american economic review,business horizons,international journal of innovation management
international journal of project management,r&d management,creativity and innovation management,international journal of production economics,journal of engineering and technology management,organizational behavior and human decision processes
research policy (rp),european journal of marketing,journal of management information systems,organization science,technovation,
strategic organization,industrial marketing management,international journal of technology management,the journal of technology transfer,management science,
california management review,journal of economic behavior and organization,international journal of research in marketing,journal of applied psychology,european journal of innovation management,
ieee transactions on engineering management,management review quarterly (früher: journal für betriebswirtschaft jfb),journal of consumer research,industry & innovation,international journal of services technology and management,
international journal of product development,,journal of marketing,journal of industrial economics,journal of business research,
long range planning,,journal of retailing,technological forecasting and social change,research-technology management (rtm),
service industries journal,,journal of the academy of marketing science,,mit sloan management review,
harvard business review,,marketing science,,,
journal of marketing research,,,,,
