maroon,teal,yellow,green,orange,gold
academy of management perspectives,international journal of innovation and sustainable development,american economic review,creativity and innovation management,journal of business research,journal of engineering and technology management
international journal of innovation and technology management,technological forecasting and social change,business horizons,organization science,annals of operations research,california management review
journal of product innovation management (jpim),ieee transactions on engineering management,industrial and corporate change (icc),international journal of production research,electronic markets (em),european journal of innovation management
research policy (rp),international journal of innovation management,industrial marketing management,decision support systems (dss),journal of interactive marketing,international journal of information management
journal of marketing,journal of cleaner production,management science,european management journal,international journal of technology marketing,international journal of technology management
r&d management,management decision,technovation,technology analysis & strategic management,marketing letters,journal of management information systems
journal of strategy and management,industry & innovation,the journal of technology transfer,corporate social responsibility and environmental management,journal of consumer research,journal of services marketing
human relations,energy policy,international journal of technology intelligence and planning,research-technology management (rtm),journal of marketing research,management information systems quarterly (misq)
long range planning,journal of small business management (jsbm),economics of innovation and new technology,journal of change management,marketing science,international journal of networking and virtual organisations
mit sloan management review,organization studies,international journal of entrepreneurship and innovation management,harvard business review,,journal of the academy of marketing science
,,international journal of research in marketing,,,mis quarterly executive
,,journal of industrial economics,,,
