maroon,teal,orange,gold
academy of management perspectives,international journal of innovation and sustainable development,technological forecasting and social change,american economic review
international journal of innovation and technology management,management science,creativity and innovation management,business horizons
journal of product innovation management (jpim),ieee transactions on engineering management,organization science,industrial marketing management
research policy (rp),decision support systems (dss),california management review,journal of business research
technovation,management decision,european management journal,journal of engineering and technology management
journal of marketing,journal of small business management (jsbm),international journal of information management,european journal of innovation management
international journal of technology management,,journal of cleaner production,international journal of innovation management
r&d management,,journal of management information systems,journal of interactive marketing
harvard business review,,journal of services marketing,economics of innovation and new technology
international journal of technology marketing,,management information systems quarterly (misq),international journal of research in marketing
journal of marketing research,,technology analysis & strategic management,marketing letters
long range planning,,international journal of networking and virtual organisations,journal of consumer research
mit sloan management review,,,journal of the academy of marketing science
