gold,teal,orange,green,maroon
california management review,european journal of innovation management,international journal of innovation management,journal of business research,journal of marketing
creativity and innovation management,international journal of innovation and technology management,journal of cleaner production,journal of services marketing,technovation
decision support systems (dss),research policy (rp),management decision,management science,journal of interactive marketing
international journal of information management,,technological forecasting and social change,r&d management,journal of product innovation management (jpim)
international journal of technology management,,international journal of innovation and sustainable development,economics of innovation and new technology,journal of consumer research
journal of engineering and technology management,,journal of marketing research,ieee transactions on engineering management,
journal of management information systems,,,industrial marketing management,
technology analysis & strategic management,,,mit sloan management review,
harvard business review,,,,
organization science,,,,
