maroon,gold,yellow,green,red,teal,orange
academy of management annals,international journal of innovation and sustainable development,international journal of innovation and technology management,technological forecasting and social change,international journal of innovation management,american economic review,journal of engineering and technology management
journal of management studies (jms),journal of business research,research policy (rp),advances in consumer research,technovation,business horizons,european journal of innovation management
journal of product innovation management (jpim),advances in international marketing,australasian marketing journal,european management journal,journal of services marketing,industrial and corporate change (icc),international journal of information management
strategic management journal (smj),journal of cleaner production,journal of marketing,ieee transactions on engineering management,industrial marketing management,journal of economics & management strategy,international journal of networking and virtual organisations
academy of management perspectives,business strategy and the environment,corporate social responsibility and environmental management,creativity and innovation management,american psychologist,journal of management (jom),economics of innovation and new technology
journal of business venturing (jbv),ecological economics,electronic markets (em),california management review,r&d management,management science,journal of business strategy
advances in strategic management,journal of promotion management,economic journal,decision support systems (dss),annals of operations research,the journal of technology transfer,journal of interactive marketing
international journal of technology management,journal of consumer psychology,journal of high technology management research,international journal of technology intelligence and planning,marketing letters,international journal of project organization and management science (ijpom),journal of knowledge management
organization science,,information and organization,journal of management information systems,management information systems quarterly (misq),information systems research (isr),journal of macromarketing
international journal of production research,,international journal of industrial organization,management decision,research-technology management (rtm),harvard business review,journal of the academy of marketing science
decision sciences,,long range planning,technology analysis & strategic management,electronic commerce research,international journal of entrepreneurship and innovation management,mis quarterly executive
econometrica,,marketing science,journal of strategy and management,european journal of marketing,journal of organizational computing and electronic commerce,organizational research methods
strategic entrepreneurship journal (sej),,mit sloan management review,journal of small business management (jsbm),international journal of technology marketing,international journal of research in marketing,service industries journal
energy policy,,small business economics,international entrepreneurship and management journal,international journal of entrepreneurial venturing,journal of economic behavior and organization,
journal of change management,,,journal of manufacturing technology management,international marketing review,journal of industrial economics,
human relations,,,journal of operations management,journal of applied psychology,journal of cultural economics,
organization studies,,,journal of organizational behavior,journal of consumer behaviour,journal of marketing management,
production and operations management,,,,journal of consumer research,journal of political economy,
research in the sociology of organizations,,,,journal of marketing research,marketing theory,
strategic organization,,,,journal of retailing,,
