orange,teal,gold,green,maroon,yellow
academy of management perspectives,international journal of innovation and sustainable development,international journal of innovation and technology management,european management journal,creativity and innovation management,journal of engineering and technology management
journal of management studies (jms),technological forecasting and social change,ieee transactions on engineering management,industrial and corporate change (icc),california management review,european journal of innovation management
journal of product innovation management (jpim),advances in consumer research,american economic review,industrial marketing management,decision support systems (dss),information & management
organization science,international journal of innovation management,business horizons,american psychologist,international journal of information management,international journal of networking and virtual organisations
industry & innovation,journal of business research,journal of economics & management strategy,journal of services marketing,international journal of project organization and management science (ijpom),economics of innovation and new technology
journal of change management,technovation,journal of management (jom),r&d management,international journal of technology intelligence and planning,journal of applied psychology
human relations,annals of operations research,management science,journal of marketing,international journal of technology management,journal of knowledge management
strategic entrepreneurship journal (sej),international journal of production research,research policy (rp),electronic markets (em),journal of management information systems,journal of macromarketing
organization studies,journal of cleaner production,the journal of technology transfer,journal of interactive marketing,management decision,journal of the academy of marketing science
research in the sociology of organizations,corporate social responsibility and environmental management,economic journal,international journal of entrepreneurship and innovation management,management information systems quarterly (misq),mis quarterly executive
strategic organization,research-technology management (rtm),journal of high technology management research,international journal of technology marketing,technology analysis & strategic management,organizational research methods
,electronic commerce research,information and organization,international journal of research in marketing,information systems research (isr),
,energy policy,international journal of industrial organization,international marketing review,journal of strategy and management,
,european journal of marketing,journal of promotion management,journal of consumer behaviour,harvard business review,
,journal of small business management (jsbm),journal of marketing management,journal of marketing research,journal of organizational computing and electronic commerce,
,marketing letters,journal of political economy,journal of retailing,journal of economic behavior and organization,
,international journal of entrepreneurial venturing,long range planning,marketing science,journal of industrial economics,
,journal of consumer psychology,mit sloan management review,,journal of operations management,
,journal of consumer research,small business economics,,journal of organizational behavior,
