maroon,teal,gold,yellow,green,orange
academy of management perspectives,international journal of innovation and sustainable development,international journal of technology marketing,journal of product innovation management (jpim),ieee transactions on engineering management,management science
international journal of innovation and technology management,international journal of innovation management,technological forecasting and social change,advances in consumer research,american economic review,journal of marketing
international journal of project management,international journal of production research,industrial marketing management,journal of business research,business horizons,decision support systems (dss)
research policy (rp),journal of cleaner production,organization science,technovation,international journal of production economics,international journal of information management
strategic organization,journal of services marketing,journal of engineering and technology management,creativity and innovation management,the journal of technology transfer,journal of management information systems
european management journal,service industries journal,international journal of technology intelligence and planning,industrial and corporate change (icc),,management decision
r&d management,corporate social responsibility and environmental management,international journal of technology management,annals of operations research,,information & management
california management review,economics of innovation and new technology,management information systems quarterly (misq),international journal of product development,,international journal of networking and virtual organisations
european journal of innovation management,energy policy,technology analysis & strategic management,electronic markets (em),,journal of strategy and management
long range planning,journal of the academy of marketing science,industry & innovation,journal of interactive marketing,,human relations
european journal of marketing,,journal of change management,research-technology management (rtm),,mis quarterly executive
mit sloan management review,,harvard business review,electronic commerce research,,
,,journal of applied psychology,journal of small business management (jsbm),,
,,journal of economic behavior and organization,marketing letters,,
,,journal of industrial economics,international journal of entrepreneurship and innovation management,,
,,organization studies,international journal of research in marketing,,
,,,journal of consumer research,,
,,,journal of marketing research,,
,,,journal of retailing,,
,,,marketing science,,
