gold,orange,green,maroon,teal,yellow
academy of management perspectives,international journal of technology marketing,journal of product innovation management (jpim),american economic review,creativity and innovation management,journal of marketing
international journal of innovation and sustainable development,industrial marketing management,journal of business research,business horizons,organization science,decision support systems (dss)
international journal of innovation and technology management,journal of engineering and technology management,technovation,industrial and corporate change (icc),management information systems quarterly (misq),international journal of information management
research policy (rp),european journal of innovation management,international journal of product development,international journal of production economics,industry & innovation,journal of management information systems
technological forecasting and social change,european management journal,research-technology management (rtm),management science,journal of applied psychology,journal of services marketing
california management review,international journal of innovation management,economics of innovation and new technology,the journal of technology transfer,journal of economic behavior and organization,international journal of networking and virtual organisations
journal of cleaner production,international journal of technology management,international journal of entrepreneurship and innovation management,ieee transactions on engineering management,,journal of interactive marketing
long range planning,service industries journal,journal of small business management (jsbm),journal of industrial economics,,journal of marketing research
management decision,technology analysis & strategic management,marketing letters,,,journal of the academy of marketing science
r&d management,harvard business review,international journal of research in marketing,,,
,organization studies,journal of consumer research,,,
,,marketing science,,,
,,mit sloan management review,,,
