orange,teal,gold,maroon
academy of management perspectives,international journal of technology marketing,journal of product innovation management (jpim),creativity and innovation management
international journal of innovation and sustainable development,industrial marketing management,research policy (rp),journal of engineering and technology management
international journal of innovation and technology management,organization science,american economic review,journal of marketing
technological forecasting and social change,ieee transactions on engineering management,business horizons,decision support systems (dss)
management science,european management journal,journal of business research,european journal of innovation management
california management review,international journal of information management,technovation,journal of management information systems
journal of cleaner production,international journal of innovation management,international journal of product development,journal of interactive marketing
long range planning,international journal of technology management,journal of services marketing,international journal of research in marketing
management decision,r&d management,economics of innovation and new technology,journal of consumer research
,technology analysis & strategic management,marketing letters,journal of marketing research
,harvard business review,journal of applied psychology,marketing science
,journal of economic behavior and organization,journal of the academy of marketing science,
,journal of industrial economics,mit sloan management review,
