green,teal,gold,orange,maroon,yellow,red,blue
academy of management annals,international journal of innovation and sustainable development,international journal of innovation and technology management,international journal of project management,international journal of technology marketing,technological forecasting and social change,ieee transactions on engineering management,international journal of innovation management
journal of management studies (jms),research policy (rp),acm computing surveys,european management journal,journal of business venturing (jbv),acm transactions on information systems,american economic review,journal of business research
journal of product innovation management (jpim),journal of cleaner production,r&d management,advances in strategic management,technovation,journal of strategy and management,business horizons,industrial and corporate change (icc)
strategic management journal (smj),business strategy and the environment,australasian marketing journal,international journal of technology management,advances in international marketing,applied psychology,industrial marketing management,annals of operations research
strategic organization,corporate social responsibility and environmental management,computers in industry,european journal of innovation management,creativity and innovation management,bmc health services research,international journal of production economics,international journal of production research
academy of management perspectives,ecological economics,european journal of international management,business process management journal,journal of services marketing,journal of small business management (jsbm),journal of economics & management strategy,marketing letters
"accounting, organizations and society",energy policy,harvard business manager,international journal of project organization and management science (ijpom),american psychologist,ieee internet computing,journal of management (jom),journal of engineering and technology management
information and organization,european economic review,information systems and e-business management,california management review,business strategy review,information technology and management,management science,journal of marketing
advances in consumer research,ieee transactions on software engineering,international journal on media management,long range planning,management information systems quarterly (misq),international entrepreneurship and management journal,the journal of technology transfer,decision support systems (dss)
academy of management review (amr),international journal of advertising,journal of public administration research and theory,service industries journal,research-technology management (rtm),international journal of entrepreneurship and innovation,international journal of technology intelligence and planning,international journal of information management
organization science,international journal of consumer studies,marketing review st. gallen,technology analysis & strategic management,cross-cultural research,international small business journal,management decision,international journal of product development
applied economics,international journal of industrial organization,multivariate behavioral research,information systems research (isr),journal of promotion management,journal of manufacturing technology management,econometrica,journal of management information systems
economics of innovation and new technology,journal of business and psychology,public administration review,harvard business review,journal of high technology management research,journal of research in marketing and entrepreneurship,strategic entrepreneurship journal (sej),electronic markets (em)
baltic journal of management,journal of business ethics,studies in higher education,journal of organizational computing and electronic commerce,electronic commerce research,journal of small business and entrepreneurship,economics letters,international journal of networking and virtual organisations
economic journal,journal of consumer policy,,industrial management & data systems,international journal of entrepreneurship and innovation management,journal of the european economic association,journal of cultural economics,decision sciences
journal of change management,journal of environmental economics and management,,journal of consumer marketing,international journal of services technology and management,labour economics,ieee software,european journal of marketing
human relations,journal of industrial ecology,,journal of information technology,international marketing review,marketing intelligence & planning,journal of industrial economics,european journal of political economy
human resource management,journal of occupational and organizational psychology,,journal of knowledge management,journal of applied psychology,review of managerial science,journal of international management,human-computer interaction
international journal of the economics of business,social science and medicine,,journal of operations management,journal of consumer behaviour,,journal of organizational behavior,interfaces
industry & innovation,sustainable development,,lecture notes in business information processing,journal of derivatives,,journal of political economy,international journal of entrepreneurial venturing
journal of economic psychology,transportation research part d: transport and environment,,omega,management review quarterly (früher: journal für betriebswirtschaft jfb),,managerial and decision economics,international journal of internet marketing and advertising
journal of empirical finance,,,production and operations management,journal of intellectual capital,,science,international journal of research in marketing
journal of management and governance,,,project management journal,journal of international marketing,,,journal of advertising
journal of service management,,,,journal of management inquiry,,,journal of brand management
leadership,,,,journal of marketing management,,,journal of business strategy
leadership quarterly,,,,journal of marketing theory and practice,,,journal of consumer psychology
management learning,,,,journal of retailing,,,journal of consumer research
mckinsey quarterly,,,,journal of retailing and consumer services,,,journal of customer behaviour
mit sloan management review,,,,journal of strategic marketing,,,journal of economic behavior and organization
organization,,,,journal of world business,,,journal of forecasting
organization studies,,,,organizational research methods,,,journal of interactive marketing
organizational behavior and human decision processes,,,,public management review,,,journal of macromarketing
personnel psychology,,,,small business economics,,,journal of marketing communications
research in organizational behavior,,,,,,,journal of marketing research
research in the sociology of organizations,,,,,,,journal of public economic theory
,,,,,,,journal of the academy of marketing science
,,,,,,,mis quarterly executive
,,,,,,,marketing science
,,,,,,,marketing theory
,,,,,,,operations research
,,,,,,,organizational dynamics
,,,,,,,the rand journal of economics
