orange,maroon,gold,green,yellow,teal
academy of management annals,international journal of innovation and sustainable development,international journal of innovation and technology management,international journal of technology marketing,technological forecasting and social change,industrial and corporate change (icc)
industry & innovation,advances in consumer research,international journal of project management,r&d management,ieee transactions on engineering management,journal of engineering and technology management
journal of management studies (jms),international journal of innovation management,european management journal,industrial marketing management,american economic review,journal of marketing
journal of product innovation management (jpim),journal of business research,creativity and innovation management,international journal of project organization and management science (ijpom),business horizons,decision support systems (dss)
strategic organization,technovation,california management review,international journal of technology management,international journal of production economics,international journal of information management
academy of management perspectives,advances in international marketing,european journal of innovation management,corporate social responsibility and environmental management,journal of economics & management strategy,journal of management information systems
research policy (rp),journal of cleaner production,international journal of technology intelligence and planning,harvard business review,journal of management (jom),electronic markets (em)
organization science,journal of services marketing,long range planning,international journal of entrepreneurship and innovation management,management science,information & management
management information systems quarterly (misq),annals of operations research,management decision,journal of organizational computing and electronic commerce,the journal of technology transfer,international journal of networking and virtual organisations
econometrica,international journal of production research,technology analysis & strategic management,international marketing review,american psychologist,journal of interactive marketing
strategic entrepreneurship journal (sej),international journal of product development,journal of promotion management,journal of consumer behaviour,information systems research (isr),international journal of research in marketing
economic journal,service industries journal,journal of organizational behavior,journal of consumer marketing,journal of strategy and management,journal of macromarketing
journal of change management,research-technology management (rtm),organizational research methods,journal of economic behavior and organization,energy policy,journal of marketing research
human relations,economics of innovation and new technology,,journal of marketing management,journal of small business management (jsbm),mis quarterly executive
information and organization,journal of high technology management research,,journal of retailing,international journal of services technology and management,marketing science
international journal of industrial organization,electronic commerce research,,,journal of industrial economics,
journal of applied psychology,european journal of marketing,,,journal of manufacturing technology management,
mit sloan management review,marketing letters,,,journal of operations management,
organization studies,international journal of entrepreneurial venturing,,,,
organizational behavior and human decision processes,journal of consumer psychology,,,,
research in the sociology of organizations,journal of consumer research,,,,
,management review quarterly (früher: journal für betriebswirtschaft jfb),,,,
,journal of economic psychology,,,,
,journal of knowledge management,,,,
,journal of political economy,,,,
,journal of the academy of marketing science,,,,
,small business economics,,,,
